time,sensor,value
1721932617.8335714,mirror-server-84d76565df-qlxr6.cpuutil,59.760944
1721932617.8335714,mirror-server-84d76565df-qlxr6.membytes,152834048.0
1721932617.836093,sim-server.cpuutil,139.787433
1721932617.836093,sim-server.membytes,1211621376.0
1721932618.8445473,mirror-server-84d76565df-qlxr6.cpuutil,59.760944
1721932618.8445473,mirror-server-84d76565df-qlxr6.membytes,152834048.0
1721932618.8475423,sim-server.cpuutil,139.787433
1721932618.8475423,sim-server.membytes,1211621376.0
1721932619.85736,mirror-server-84d76565df-qlxr6.cpuutil,59.760944
1721932619.85736,mirror-server-84d76565df-qlxr6.membytes,152834048.0
1721932619.8601024,sim-server.cpuutil,139.787433
1721932619.8601024,sim-server.membytes,1211621376.0
1721932620.8693686,mirror-server-84d76565df-qlxr6.cpuutil,67.263095
1721932620.8693686,mirror-server-84d76565df-qlxr6.membytes,152846336.0
1721932620.87187,sim-server.cpuutil,144.677033
1721932620.87187,sim-server.membytes,1212129280.0
1721932621.8818293,mirror-server-84d76565df-qlxr6.cpuutil,67.263095
1721932621.8818293,mirror-server-84d76565df-qlxr6.membytes,152846336.0
1721932621.8843577,sim-server.cpuutil,144.677033
1721932621.8843577,sim-server.membytes,1212129280.0
1721932622.893474,mirror-server-84d76565df-qlxr6.cpuutil,67.263095
1721932622.893474,mirror-server-84d76565df-qlxr6.membytes,152846336.0
1721932622.8962848,sim-server.cpuutil,144.677033
1721932622.8962848,sim-server.membytes,1212129280.0
1721932623.9059033,mirror-server-84d76565df-qlxr6.cpuutil,67.263095
1721932623.9059033,mirror-server-84d76565df-qlxr6.membytes,152846336.0
1721932623.90867,sim-server.cpuutil,144.677033
1721932623.90867,sim-server.membytes,1212129280.0
1721932624.9185374,mirror-server-84d76565df-qlxr6.cpuutil,67.263095
1721932624.9185374,mirror-server-84d76565df-qlxr6.membytes,152846336.0
1721932624.9213614,sim-server.cpuutil,144.677033
1721932624.9213614,sim-server.membytes,1212129280.0
1721932625.9361103,mirror-server-84d76565df-qlxr6.cpuutil,67.263095
1721932625.9361103,mirror-server-84d76565df-qlxr6.membytes,152846336.0
1721932625.938774,sim-server.cpuutil,144.677033
1721932625.938774,sim-server.membytes,1212129280.0
1721932626.9476879,mirror-server-84d76565df-qlxr6.cpuutil,67.263095
1721932626.9476879,mirror-server-84d76565df-qlxr6.membytes,152846336.0
1721932626.9505756,sim-server.cpuutil,144.677033
1721932626.9505756,sim-server.membytes,1212129280.0
1721932627.9598873,mirror-server-84d76565df-qlxr6.cpuutil,67.263095
1721932627.9598873,mirror-server-84d76565df-qlxr6.membytes,152846336.0
1721932627.9620736,sim-server.cpuutil,144.677033
1721932627.9620736,sim-server.membytes,1212129280.0
1721932628.9700007,mirror-server-84d76565df-qlxr6.cpuutil,67.263095
1721932628.9700007,mirror-server-84d76565df-qlxr6.membytes,152846336.0
1721932628.9720807,sim-server.cpuutil,144.677033
1721932628.9720807,sim-server.membytes,1212129280.0
1721932629.981492,mirror-server-84d76565df-qlxr6.cpuutil,67.263095
1721932629.981492,mirror-server-84d76565df-qlxr6.membytes,152846336.0
1721932629.9837034,sim-server.cpuutil,144.677033
1721932629.9837034,sim-server.membytes,1212129280.0
1721932630.9920416,mirror-server-84d76565df-qlxr6.cpuutil,67.263095
1721932630.9920416,mirror-server-84d76565df-qlxr6.membytes,152846336.0
1721932630.9947042,sim-server.cpuutil,144.677033
1721932630.9947042,sim-server.membytes,1212129280.0
1721932632.0037346,mirror-server-84d76565df-qlxr6.cpuutil,67.263095
1721932632.0037346,mirror-server-84d76565df-qlxr6.membytes,152846336.0
1721932632.0065494,sim-server.cpuutil,144.677033
1721932632.0065494,sim-server.membytes,1212129280.0
1721932633.015779,mirror-server-84d76565df-qlxr6.cpuutil,67.263095
1721932633.015779,mirror-server-84d76565df-qlxr6.membytes,152846336.0
1721932633.0183413,sim-server.cpuutil,144.677033
1721932633.0183413,sim-server.membytes,1212129280.0
1721932634.027133,mirror-server-84d76565df-qlxr6.cpuutil,67.263095
1721932634.027133,mirror-server-84d76565df-qlxr6.membytes,152846336.0
1721932634.0295913,sim-server.cpuutil,144.677033
1721932634.0295913,sim-server.membytes,1212129280.0
1721932635.0372374,mirror-server-84d76565df-qlxr6.cpuutil,67.263095
1721932635.0372374,mirror-server-84d76565df-qlxr6.membytes,152846336.0
1721932635.039851,sim-server.cpuutil,144.677033
1721932635.039851,sim-server.membytes,1212129280.0
1721932636.0536344,mirror-server-84d76565df-qlxr6.cpuutil,59.950536
1721932636.0536344,mirror-server-84d76565df-qlxr6.membytes,152711168.0
1721932636.056534,sim-server.cpuutil,166.451359
1721932636.056534,sim-server.membytes,1210908672.0
1721932637.0654533,mirror-server-84d76565df-qlxr6.cpuutil,59.950536
1721932637.0654533,mirror-server-84d76565df-qlxr6.membytes,152711168.0
1721932637.0681543,sim-server.cpuutil,166.451359
1721932637.0681543,sim-server.membytes,1210908672.0
1721932641.0979705,sim-server.cpuutil,166.451359
1721932641.0979705,sim-server.membytes,1210908672.0
1721932642.1075776,sim-server.cpuutil,166.451359
1721932642.1075776,sim-server.membytes,1210908672.0
1721932643.1177673,sim-server.cpuutil,166.451359
1721932643.1177673,sim-server.membytes,1210908672.0
1721932644.1273196,sim-server.cpuutil,166.451359
1721932644.1273196,sim-server.membytes,1210908672.0
1721932645.1362145,sim-server.cpuutil,166.451359
1721932645.1362145,sim-server.membytes,1210908672.0
1721932646.151191,sim-server.cpuutil,166.451359
1721932646.151191,sim-server.membytes,1210908672.0
1721932647.160893,sim-server.cpuutil,166.451359
1721932647.160893,sim-server.membytes,1210908672.0
1721932648.1700108,sim-server.cpuutil,166.451359
1721932648.1700108,sim-server.membytes,1210908672.0
1721932649.1795692,sim-server.cpuutil,166.451359
1721932649.1795692,sim-server.membytes,1210908672.0
1721932650.1887856,sim-server.cpuutil,649.496401
1721932650.1887856,sim-server.membytes,1208795136.0
1721932651.1972136,sim-server.cpuutil,649.496401
1721932651.1972136,sim-server.membytes,1208795136.0
1721932652.2062414,sim-server.cpuutil,649.496401
1721932652.2062414,sim-server.membytes,1208795136.0
1721932653.2140534,sim-server.cpuutil,649.496401
1721932653.2140534,sim-server.membytes,1208795136.0
