time,sensor,value
1721771645.9526644,consumer-5c4d4fb85b-fxbsj.cpuutil,2.539463
1721771645.9526644,consumer-5c4d4fb85b-fxbsj.membytes,1016164352.0
1721771645.9552138,mirror-server-84d76565df-zlfnb.cpuutil,0.300989
1721771645.9552138,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771646.9633584,consumer-5c4d4fb85b-fxbsj.cpuutil,2.539463
1721771646.9633584,consumer-5c4d4fb85b-fxbsj.membytes,1016164352.0
1721771646.9658906,mirror-server-84d76565df-zlfnb.cpuutil,0.300989
1721771646.9658906,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771647.9744248,consumer-5c4d4fb85b-fxbsj.cpuutil,2.539463
1721771647.9744248,consumer-5c4d4fb85b-fxbsj.membytes,1016164352.0
1721771647.9770222,mirror-server-84d76565df-zlfnb.cpuutil,0.300989
1721771647.9770222,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771648.9860213,consumer-5c4d4fb85b-fxbsj.cpuutil,2.539463
1721771648.9860213,consumer-5c4d4fb85b-fxbsj.membytes,1016164352.0
1721771648.9880126,mirror-server-84d76565df-zlfnb.cpuutil,0.300989
1721771648.9880126,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771649.996557,consumer-5c4d4fb85b-fxbsj.cpuutil,2.539463
1721771649.996557,consumer-5c4d4fb85b-fxbsj.membytes,1016164352.0
1721771649.9984074,mirror-server-84d76565df-zlfnb.cpuutil,0.300989
1721771649.9984074,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771651.0074081,consumer-5c4d4fb85b-fxbsj.cpuutil,2.539463
1721771651.0074081,consumer-5c4d4fb85b-fxbsj.membytes,1016164352.0
1721771651.0094225,mirror-server-84d76565df-zlfnb.cpuutil,0.300989
1721771651.0094225,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771652.0179021,consumer-5c4d4fb85b-fxbsj.cpuutil,2.539463
1721771652.0179021,consumer-5c4d4fb85b-fxbsj.membytes,1016164352.0
1721771652.020093,mirror-server-84d76565df-zlfnb.cpuutil,0.300989
1721771652.020093,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771653.0335681,consumer-5c4d4fb85b-fxbsj.cpuutil,2.539463
1721771653.0335681,consumer-5c4d4fb85b-fxbsj.membytes,1016164352.0
1721771653.0364797,mirror-server-84d76565df-zlfnb.cpuutil,0.300989
1721771653.0364797,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771654.0455399,consumer-5c4d4fb85b-fxbsj.cpuutil,2.539463
1721771654.0455399,consumer-5c4d4fb85b-fxbsj.membytes,1016164352.0
1721771654.048065,mirror-server-84d76565df-zlfnb.cpuutil,0.300989
1721771654.048065,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771655.0569499,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771655.0569499,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771655.0598824,mirror-server-84d76565df-zlfnb.cpuutil,0.388949
1721771655.0598824,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771656.069275,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771656.069275,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771656.0717735,mirror-server-84d76565df-zlfnb.cpuutil,0.388949
1721771656.0717735,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771657.0809195,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771657.0809195,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771657.083731,mirror-server-84d76565df-zlfnb.cpuutil,0.388949
1721771657.083731,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771658.0931664,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771658.0931664,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771658.0961072,mirror-server-84d76565df-zlfnb.cpuutil,0.388949
1721771658.0961072,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771659.1052654,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771659.1052654,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771659.1077983,mirror-server-84d76565df-zlfnb.cpuutil,0.388949
1721771659.1077983,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771660.116613,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771660.116613,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771660.11932,mirror-server-84d76565df-zlfnb.cpuutil,0.388949
1721771660.11932,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771661.1280994,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771661.1280994,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771661.1302936,mirror-server-84d76565df-zlfnb.cpuutil,0.388949
1721771661.1302936,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771662.13884,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771662.13884,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771662.1413126,mirror-server-84d76565df-zlfnb.cpuutil,0.388949
1721771662.1413126,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771663.1554053,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771663.1554053,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771663.1582434,mirror-server-84d76565df-zlfnb.cpuutil,0.388949
1721771663.1582434,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771664.1689138,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771664.1689138,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771664.1713,mirror-server-84d76565df-zlfnb.cpuutil,0.388949
1721771664.1713,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771665.1797726,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771665.1797726,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771665.1821525,mirror-server-84d76565df-zlfnb.cpuutil,0.388949
1721771665.1821525,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771666.1909134,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771666.1909134,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771666.1937516,mirror-server-84d76565df-zlfnb.cpuutil,0.388949
1721771666.1937516,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771667.2032244,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771667.2032244,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771667.206019,mirror-server-84d76565df-zlfnb.cpuutil,0.388949
1721771667.206019,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771668.215525,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771668.215525,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771668.2182627,mirror-server-84d76565df-zlfnb.cpuutil,0.388949
1721771668.2182627,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771669.2274113,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771669.2274113,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771669.2295854,mirror-server-84d76565df-zlfnb.cpuutil,0.388949
1721771669.2295854,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771670.2381668,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771670.2381668,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771670.2410784,mirror-server-84d76565df-zlfnb.cpuutil,0.268421
1721771670.2410784,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771671.2501266,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771671.2501266,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771671.2526069,mirror-server-84d76565df-zlfnb.cpuutil,0.268421
1721771671.2526069,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771672.2615173,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771672.2615173,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771672.2641447,mirror-server-84d76565df-zlfnb.cpuutil,0.268421
1721771672.2641447,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771673.2785804,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771673.2785804,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771673.28095,mirror-server-84d76565df-zlfnb.cpuutil,0.268421
1721771673.28095,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771674.2894428,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771674.2894428,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771674.2919354,mirror-server-84d76565df-zlfnb.cpuutil,0.268421
1721771674.2919354,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771675.3004656,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771675.3004656,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771675.3030238,mirror-server-84d76565df-zlfnb.cpuutil,0.268421
1721771675.3030238,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771676.3109202,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771676.3109202,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771676.3133013,mirror-server-84d76565df-zlfnb.cpuutil,0.268421
1721771676.3133013,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771677.3226862,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771677.3226862,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771677.3256545,mirror-server-84d76565df-zlfnb.cpuutil,0.268421
1721771677.3256545,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771678.3357723,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771678.3357723,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771678.3386543,mirror-server-84d76565df-zlfnb.cpuutil,0.268421
1721771678.3386543,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771679.3480334,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771679.3480334,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771679.3505979,mirror-server-84d76565df-zlfnb.cpuutil,0.268421
1721771679.3505979,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771680.3604429,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771680.3604429,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771680.363341,mirror-server-84d76565df-zlfnb.cpuutil,0.268421
1721771680.363341,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771681.373043,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771681.373043,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771681.3754964,mirror-server-84d76565df-zlfnb.cpuutil,0.268421
1721771681.3754964,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771682.3843489,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
1721771682.3843489,consumer-5c4d4fb85b-fxbsj.membytes,1016168448.0
1721771682.3864982,mirror-server-84d76565df-zlfnb.cpuutil,0.268421
1721771682.3864982,mirror-server-84d76565df-zlfnb.membytes,198864896.0
1721771683.4003103,consumer-5c4d4fb85b-fxbsj.cpuutil,2.400959
