time,value
1718639881.0341105,111064.1484375
1718639881.0341105,111064.56243896484
1718639881.1580927,111067.22442626953
1718639881.1580927,111067.51184082031
1718639882.0340862,111141.6958618164
1718639882.0340862,111141.76403808594
1718639882.1580603,111144.59307861328
1718639882.1580603,111145.04138183594
1718639883.0340638,111219.19860839844
1718639883.0340638,111219.40948486328
1718639883.1580353,111222.47216796875
1718639883.1580353,111222.85382080078
1718639884.034107,111297.171875
1718639884.034107,111297.57104492188
1718639884.1580849,111300.22937011719
1718639884.1580849,111300.68878173828
1718639885.0340652,111374.94012451172
1718639885.0340652,111375.16204833984
1718639885.1580787,111377.98602294922
1718639885.1580787,111378.37921142578
1718639886.034078,111452.67883300781
1718639886.034078,111452.90228271484
1718639886.15805,111455.87805175781
1718639886.15805,111456.1791381836
1718639887.0340877,111530.49053955078
1718639887.0340877,111530.80364990234
1718639887.1580684,111533.55340576172
1718639887.1580684,111533.85717773438
1718639888.0340958,111608.16442871094
1718639888.0340958,111608.302734375
1718639888.1580665,111611.35668945312
1718639888.1580665,111611.65814208984
1718639889.034085,111685.97430419922
1718639889.034085,111686.0424194336
1718639889.1580904,111689.18365478516
1718639889.1580904,111689.5630493164
1718639890.034108,111763.7861328125
1718639890.034108,111764.18292236328
1718639890.1580768,111766.92431640625
1718639890.1580768,111767.30786132812
1718639891.0341046,111841.78747558594
1718639891.0341046,111842.09149169922
1718639891.1580606,111844.75811767578
1718639891.1580606,111845.13458251953
1718639892.0340886,111919.14184570312
1718639892.0340886,111919.40594482422
1718639892.1580534,111922.42919921875
1718639892.1580534,111922.79968261719
1718639893.0340326,111997.28186035156
1718639893.0340326,111997.5825805664
1718639893.1580923,112000.23614501953
1718639893.1580923,112000.625
1718639894.0341015,112075.3115234375
1718639894.0341015,112075.61474609375
1718639894.158087,112077.90002441406
1718639894.158087,112078.29418945312
1718639895.0340905,112152.52142333984
1718639895.0340905,112152.73736572266
1718639895.1580744,112155.8843383789
1718639895.1580744,112156.10009765625
1718639896.0340924,112230.5834350586
1718639896.0340924,112230.79760742188
1718639896.1580758,112233.46783447266
1718639896.1580758,112233.92095947266
1718639897.0340865,112308.06896972656
1718639897.0340865,112308.37817382812
1718639897.158079,112311.2885131836
1718639897.158079,112311.6527709961
1718639898.0341012,112386.03497314453
1718639898.0341012,112386.17626953125
1718639898.1580667,112389.15441894531
1718639898.1580667,112389.47180175781
1718639899.0341077,112463.71484375
1718639899.0341077,112464.0111694336
1718639899.1581166,112466.82696533203
1718639899.1581166,112467.13775634766
1718639900.0340939,112541.46838378906
1718639900.0340939,112541.6830444336
1718639900.15807,112544.57409667969
1718639900.15807,112544.88806152344
1718639901.0340445,112619.21655273438
1718639901.0340445,112619.54284667969
1718639901.1580834,112622.4390258789
1718639901.1580834,112622.9008178711
1718639902.0340424,112684.4468383789
1718639902.0340424,112684.53546142578
1718639902.1587172,112686.60174560547
1718639902.1587172,112686.69641113281
