time,value
1718639880.6512609,1.0
1718639880.6687093,1.0
1718639880.685782,1.0
1718639880.7028391,1.0
1718639880.7198591,1.0
1718639880.7369323,1.0
1718639880.7539883,1.0
1718639880.7709703,1.0
1718639880.7879677,1.0
1718639880.805056,1.0
1718639880.8220582,1.0
1718639880.839048,1.0
1718639880.8560174,1.0
1718639880.8730338,1.0
1718639880.8900204,1.0
1718639880.9069757,1.0
1718639880.9239383,1.0
1718639880.9409053,1.0
1718639880.9578724,1.0
1718639880.9749553,1.0
1718639880.9936035,1.0
1718639881.0156288,1.0
1718639881.040156,1.0
1718639881.0623631,1.0
1718639881.0847664,1.0
1718639881.1061604,1.0
1718639881.129663,1.0
1718639881.1503668,1.0
1718639881.1732633,1.0
1718639881.1936622,1.0
1718639881.2145393,1.0
1718639881.2354598,1.0
1718639881.2560363,1.0
1718639881.2768092,1.0
1718639881.297407,1.0
1718639881.3192365,1.0
1718639881.3397472,1.0
1718639881.3602283,1.0
1718639881.3807063,1.0
1718639881.4011774,1.0
1718639881.4216316,1.0
1718639881.442095,1.0
1718639881.4626482,1.0
1718639881.4831357,1.0
1718639881.5036545,1.0
1718639881.5241644,1.0
1718639881.5446556,1.0
1718639881.5651202,1.0
1718639881.5857837,1.0
1718639881.6217918,1.0
1718639881.6420732,1.0
1718639881.6626222,1.0
1718639881.6836698,1.0
1718639881.7041469,1.0
1718639881.7246218,1.0
1718639881.7451785,1.0
1718639881.7655728,1.0
1718639881.7860682,1.0
1718639881.8065314,1.0
1718639881.8269777,1.0
1718639881.8474433,1.0
1718639881.8680117,1.0
1718639881.8884945,1.0
1718639881.9090273,1.0
1718639881.9294457,1.0
1718639881.9499133,1.0
1718639881.9704287,1.0
1718639881.9909275,1.0
1718639882.011396,1.0
1718639882.0318573,1.0
1718639882.0528677,1.0
1718639882.0734897,1.0
1718639882.094976,1.0
1718639882.1305573,1.0
1718639882.156214,1.0
1718639882.1790178,1.0
1718639882.1996505,1.0
1718639882.2202919,1.0
1718639882.2408915,1.0
1718639882.2616837,1.0
1718639882.2822874,1.0
1718639882.3028371,1.0
1718639882.3234487,1.0
1718639882.3440974,1.0
1718639882.3646355,1.0
1718639882.385244,1.0
1718639882.4060624,1.0
1718639882.426626,1.0
1718639882.4472482,1.0
1718639882.4681034,1.0
1718639882.4888284,1.0
1718639882.509409,1.0
1718639882.5299942,1.0
1718639882.550562,1.0
1718639882.571302,1.0
1718639882.591891,1.0
1718639882.6340313,1.0
1718639882.6546369,1.0
1718639882.675477,1.0
1718639882.6960714,1.0
1718639882.7166321,1.0
1718639882.7376072,1.0
1718639882.7583246,1.0
1718639882.7788782,1.0
1718639882.7994685,1.0
1718639882.820023,1.0
1718639882.8406014,1.0
1718639882.8611703,1.0
1718639882.8817837,1.0
1718639882.902374,1.0
1718639882.9229283,1.0
1718639882.943477,1.0
1718639882.9641597,1.0
1718639882.9847252,1.0
1718639883.005519,1.0
1718639883.026078,1.0
1718639883.0483327,1.0
1718639883.0689523,1.0
1718639883.0908656,1.0
1718639883.1114533,1.0
1718639883.133767,1.0
1718639883.154301,1.0
1718639883.176505,1.0
1718639883.197024,1.0
1718639883.2176027,1.0
1718639883.2381766,1.0
1718639883.258814,1.0
1718639883.2794158,1.0
1718639883.30001,1.0
1718639883.320573,1.0
1718639883.3411367,1.0
1718639883.3616858,1.0
1718639883.382296,1.0
1718639883.4028866,1.0
1718639883.423459,1.0
1718639883.4440076,1.0
1718639883.4646232,1.0
1718639883.4851756,1.0
1718639883.5057623,1.0
1718639883.5263283,1.0
1718639883.5468845,1.0
1718639883.5674295,1.0
1718639883.5879982,1.0
1718639883.6294281,1.0
1718639883.6495647,1.0
1718639883.670401,1.0
1718639883.6909318,1.0
1718639883.7114658,1.0
1718639883.7320013,1.0
1718639883.7528746,1.0
1718639883.7733853,1.0
1718639883.793903,1.0
1718639883.8144586,1.0
1718639883.8349676,1.0
1718639883.8555026,1.0
1718639883.876321,1.0
1718639883.8968356,1.0
1718639883.91757,1.0
1718639883.938098,1.0
1718639883.958604,1.0
1718639883.979139,1.0
1718639883.9996321,1.0
1718639884.020144,1.0
1718639884.0415642,1.0
1718639884.062196,1.0
1718639884.083607,1.0
1718639884.1040869,1.0
1718639884.126282,1.0
1718639884.1469662,1.0
1718639884.168898,1.0
1718639884.1893365,1.0
1718639884.2099013,1.0
1718639884.2304485,1.0
1718639884.2509882,1.0
1718639884.2716196,1.0
1718639884.2921267,1.0
1718639884.3126755,1.0
1718639884.3331773,1.0
1718639884.3536904,1.0
1718639884.3742251,1.0
1718639884.3947635,1.0
1718639884.4152796,1.0
1718639884.435825,1.0
1718639884.4563231,1.0
1718639884.4769285,1.0
1718639884.4974406,1.0
1718639884.5180104,1.0
1718639884.5385182,1.0
1718639884.5590134,1.0
1718639884.579524,1.0
1718639884.602222,1.0
1718639884.6242251,1.0
1718639884.6447473,1.0
1718639884.6653435,1.0
1718639884.6862357,1.0
1718639884.706774,1.0
1718639884.727331,1.0
1718639884.7480285,1.0
1718639884.7685351,1.0
1718639884.789044,1.0
1718639884.8095758,1.0
1718639884.8301268,1.0
1718639884.850681,1.0
1718639884.8712604,1.0
1718639884.8918025,1.0
1718639884.9123065,1.0
1718639884.9328778,1.0
1718639884.9534206,1.0
1718639884.973991,1.0
1718639884.9945047,1.0
1718639885.0150485,1.0
1718639885.0357704,1.0
1718639885.0564804,1.0
1718639885.077703,1.0
1718639885.098429,1.0
1718639885.1194923,1.0
1718639885.1411464,1.0
1718639885.1621087,1.0
1718639885.1839676,1.0
1718639885.2045164,1.0
1718639885.225041,1.0
1718639885.2455857,1.0
1718639885.2662737,1.0
1718639885.286808,1.0
1718639885.3073442,1.0
1718639885.3282754,1.0
1718639885.3488202,1.0
1718639885.3693578,1.0
1718639885.389909,1.0
1718639885.41044,1.0
1718639885.4310074,1.0
1718639885.451548,1.0
1718639885.4722915,1.0
1718639885.4928143,1.0
1718639885.5133753,1.0
1718639885.5339043,1.0
1718639885.5544612,1.0
1718639885.5749915,1.0
1718639885.5955894,1.0
1718639885.616773,1.0
1718639885.6372986,1.0
1718639885.6578455,1.0
1718639885.6787593,1.0
1718639885.6993225,1.0
1718639885.7198508,1.0
1718639885.7403834,1.0
1718639885.7611494,1.0
1718639885.7817113,1.0
1718639885.8022394,1.0
1718639885.822787,1.0
1718639885.8438857,1.0
1718639885.8644009,1.0
1718639885.8849976,1.0
1718639885.9055426,1.0
1718639885.9261012,1.0
1718639885.9466336,1.0
1718639885.9671795,1.0
1718639885.987699,1.0
1718639886.0082626,1.0
1718639886.0287948,1.0
1718639886.05054,1.0
1718639886.0710933,1.0
1718639886.0927463,1.0
1718639886.1133027,1.0
1718639886.1355662,1.0
1718639886.1560693,1.0
1718639886.1779966,1.0
1718639886.1985176,1.0
1718639886.219115,1.0
1718639886.2396488,1.0
1718639886.2601857,1.0
1718639886.280948,1.0
1718639886.3015084,1.0
1718639886.3220813,1.0
1718639886.3426716,1.0
1718639886.3632355,1.0
1718639886.383819,1.0
1718639886.4043598,1.0
1718639886.4249163,1.0
1718639886.4454477,1.0
1718639886.466018,1.0
1718639886.4865992,1.0
1718639886.5071378,1.0
1718639886.5277205,1.0
1718639886.5482473,1.0
1718639886.5687773,1.0
1718639886.5893488,1.0
1718639886.6110659,1.0
1718639886.6316216,1.0
1718639886.652849,1.0
1718639886.673634,1.0
1718639886.6942027,1.0
1718639886.7148044,1.0
1718639886.7356372,1.0
1718639886.7565355,1.0
1718639886.777116,1.0
1718639886.7977111,1.0
1718639886.8183324,1.0
1718639886.838963,1.0
1718639886.861636,1.0
1718639886.88228,1.0
1718639886.9028628,1.0
1718639886.9235358,1.0
1718639886.9441495,1.0
1718639886.9647543,1.0
1718639886.9853144,1.0
1718639887.0059586,1.0
1718639887.0266228,1.0
1718639887.048256,1.0
1718639887.0688787,1.0
1718639887.0904348,1.0
1718639887.1110084,1.0
1718639887.133537,1.0
1718639887.1540756,1.0
1718639887.1764288,1.0
1718639887.19704,1.0
1718639887.217651,1.0
1718639887.2382655,1.0
