time,sensor,value
1721933640.2306328,mirror-server-84d76565df-597d4.cpuutil,523.02631
1721933640.2306328,mirror-server-84d76565df-597d4.membytes,149245952.0
1721933640.2329125,sim-server.cpuutil,1292.194837
1721933640.2329125,sim-server.membytes,1214865408.0
1721933641.2414663,mirror-server-84d76565df-597d4.cpuutil,523.02631
1721933641.2414663,mirror-server-84d76565df-597d4.membytes,149245952.0
1721933641.243892,sim-server.cpuutil,1292.194837
1721933641.243892,sim-server.membytes,1214865408.0
1721933642.2528663,mirror-server-84d76565df-597d4.cpuutil,523.02631
1721933642.2528663,mirror-server-84d76565df-597d4.membytes,149245952.0
1721933642.2552445,sim-server.cpuutil,1292.194837
1721933642.2552445,sim-server.membytes,1214865408.0
1721933643.26376,mirror-server-84d76565df-597d4.cpuutil,523.02631
1721933643.26376,mirror-server-84d76565df-597d4.membytes,149245952.0
1721933643.266119,sim-server.cpuutil,1292.194837
1721933643.266119,sim-server.membytes,1214865408.0
1721933644.2753136,mirror-server-84d76565df-597d4.cpuutil,523.02631
1721933644.2753136,mirror-server-84d76565df-597d4.membytes,149245952.0
1721933644.2774398,sim-server.cpuutil,1292.194837
1721933644.2774398,sim-server.membytes,1214865408.0
1721933645.2857788,mirror-server-84d76565df-597d4.cpuutil,523.02631
1721933645.2857788,mirror-server-84d76565df-597d4.membytes,149245952.0
1721933645.2880473,sim-server.cpuutil,1292.194837
1721933645.2880473,sim-server.membytes,1214865408.0
1721933646.2979019,mirror-server-84d76565df-597d4.cpuutil,523.02631
1721933646.2979019,mirror-server-84d76565df-597d4.membytes,149245952.0
1721933646.2999923,sim-server.cpuutil,1292.194837
1721933646.2999923,sim-server.membytes,1214865408.0
1721933647.308755,mirror-server-84d76565df-597d4.cpuutil,523.02631
1721933647.308755,mirror-server-84d76565df-597d4.membytes,149245952.0
1721933647.3110008,sim-server.cpuutil,1292.194837
1721933647.3110008,sim-server.membytes,1214865408.0
1721933648.3248215,mirror-server-84d76565df-597d4.cpuutil,523.02631
1721933648.3248215,mirror-server-84d76565df-597d4.membytes,149245952.0
1721933648.327075,sim-server.cpuutil,1292.194837
1721933648.327075,sim-server.membytes,1214865408.0
1721933649.3362174,mirror-server-84d76565df-597d4.cpuutil,523.02631
1721933649.3362174,mirror-server-84d76565df-597d4.membytes,149245952.0
1721933649.338801,sim-server.cpuutil,1292.194837
1721933649.338801,sim-server.membytes,1214865408.0
1721933650.3486764,mirror-server-84d76565df-597d4.cpuutil,523.02631
1721933650.3486764,mirror-server-84d76565df-597d4.membytes,149245952.0
1721933650.3510282,sim-server.cpuutil,1292.194837
1721933650.3510282,sim-server.membytes,1214865408.0
1721933651.360122,mirror-server-84d76565df-597d4.cpuutil,523.02631
1721933651.360122,mirror-server-84d76565df-597d4.membytes,149245952.0
1721933651.3624558,sim-server.cpuutil,1292.194837
1721933651.3624558,sim-server.membytes,1214865408.0
1721933652.3739018,mirror-server-84d76565df-597d4.cpuutil,523.02631
1721933652.3739018,mirror-server-84d76565df-597d4.membytes,149245952.0
1721933652.376155,sim-server.cpuutil,1292.194837
1721933652.376155,sim-server.membytes,1214865408.0
1721933653.3852925,mirror-server-84d76565df-597d4.cpuutil,523.02631
1721933653.3852925,mirror-server-84d76565df-597d4.membytes,149245952.0
1721933653.3877814,sim-server.cpuutil,1292.194837
1721933653.3877814,sim-server.membytes,1214865408.0
1721933654.397134,mirror-server-84d76565df-597d4.cpuutil,523.02631
1721933654.397134,mirror-server-84d76565df-597d4.membytes,149245952.0
1721933654.3996103,sim-server.cpuutil,1292.194837
1721933654.3996103,sim-server.membytes,1214865408.0
1721933655.4086144,mirror-server-84d76565df-597d4.cpuutil,528.360807
1721933655.4086144,mirror-server-84d76565df-597d4.membytes,149254144.0
1721933655.411175,sim-server.cpuutil,1259.008965
1721933655.411175,sim-server.membytes,1214865408.0
