time,sensor,value
1724088505.2610633,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,1.0
1724088505.2649791,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,2.0
1724088505.2655723,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,3.0
1724088505.2661526,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,4.0
1724088505.3575094,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,5.0
1724088505.3582036,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,6.0
1724088505.3590882,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,7.0
1724088505.3601,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,8.0
1724088505.361228,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,9.0
1724088505.362802,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,10.0
1724088505.4617288,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,11.0
1724088505.4630525,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,12.0
1724088505.4637623,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,13.0
1724088505.4644098,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,14.0
1724088505.5554845,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,15.0
1724088505.5562594,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,16.0
1724088505.5572467,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,17.0
1724088505.557978,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,18.0
1724088505.5589187,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,19.0
1724088505.5598063,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,20.0
1724088505.5606036,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,21.0
1724088507.7565074,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,22.0
1724088507.757941,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,23.0
1724088507.7587998,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,24.0
1724088507.7596836,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,25.0
1724088507.7605221,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,26.0
1724088507.7613294,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,27.0
1724088507.762158,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,28.0
1724088507.763003,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,29.0
1724088507.7638345,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,30.0
1724088507.764653,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,31.0
1724088507.7654834,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,32.0
1724088507.7662966,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,33.0
1724088507.8553169,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,34.0
1724088507.8562658,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,35.0
1724088507.8571181,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,36.0
1724088507.8579767,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,37.0
1724088507.8588052,70efc722-da73-4a83-bfd8-612fbaf95a97.2.framesqueued,38.0
