time,sensor,value
1724090944.5112517,consumer-cfddd547f-t9s9r.cpuutil,95.11981
1724090944.5112517,consumer-cfddd547f-t9s9r.membytes,135905280.0
1724090944.5130422,mirror-server-75cd876d75-j22cd.cpuutil,63.063988
1724090944.5130422,mirror-server-75cd876d75-j22cd.membytes,200163328.0
1724090944.5145404,sim-server.cpuutil,883.511529
1724090944.5145404,sim-server.membytes,1332998144.0
1724090944.977272,consumer-cfddd547f-t9s9r.cpuutil,95.11981
1724090944.977272,consumer-cfddd547f-t9s9r.membytes,135905280.0
1724090944.9803643,mirror-server-75cd876d75-j22cd.cpuutil,63.063988
1724090944.9803643,mirror-server-75cd876d75-j22cd.membytes,200163328.0
1724090944.9818687,sim-server.cpuutil,883.511529
1724090944.9818687,sim-server.membytes,1332998144.0
1724090945.5237637,consumer-cfddd547f-t9s9r.cpuutil,95.11981
1724090945.5237637,consumer-cfddd547f-t9s9r.membytes,135905280.0
1724090945.5253816,mirror-server-75cd876d75-j22cd.cpuutil,63.063988
1724090945.5253816,mirror-server-75cd876d75-j22cd.membytes,200163328.0
1724090945.5267754,sim-server.cpuutil,883.511529
1724090945.5267754,sim-server.membytes,1332998144.0
1724090945.9912114,consumer-cfddd547f-t9s9r.cpuutil,95.11981
1724090945.9912114,consumer-cfddd547f-t9s9r.membytes,135905280.0
1724090945.9928865,mirror-server-75cd876d75-j22cd.cpuutil,63.063988
1724090945.9928865,mirror-server-75cd876d75-j22cd.membytes,200163328.0
1724090945.9943128,sim-server.cpuutil,883.511529
1724090945.9943128,sim-server.membytes,1332998144.0
1724090946.536263,consumer-cfddd547f-t9s9r.cpuutil,95.11981
1724090946.536263,consumer-cfddd547f-t9s9r.membytes,135905280.0
1724090946.5380242,mirror-server-75cd876d75-j22cd.cpuutil,63.063988
1724090946.5380242,mirror-server-75cd876d75-j22cd.membytes,200163328.0
1724090946.5394166,sim-server.cpuutil,883.511529
1724090946.5394166,sim-server.membytes,1332998144.0
1724090947.0094814,consumer-cfddd547f-t9s9r.cpuutil,95.11981
1724090947.0094814,consumer-cfddd547f-t9s9r.membytes,135905280.0
1724090947.0111544,mirror-server-75cd876d75-j22cd.cpuutil,63.063988
1724090947.0111544,mirror-server-75cd876d75-j22cd.membytes,200163328.0
1724090947.012524,sim-server.cpuutil,883.511529
1724090947.012524,sim-server.membytes,1332998144.0
1724090947.5485137,consumer-cfddd547f-t9s9r.cpuutil,95.11981
1724090947.5485137,consumer-cfddd547f-t9s9r.membytes,135905280.0
1724090947.5503368,mirror-server-75cd876d75-j22cd.cpuutil,63.063988
1724090947.5503368,mirror-server-75cd876d75-j22cd.membytes,200163328.0
1724090947.551904,sim-server.cpuutil,883.511529
1724090947.551904,sim-server.membytes,1332998144.0
1724090948.0218256,consumer-cfddd547f-t9s9r.cpuutil,95.11981
1724090948.0218256,consumer-cfddd547f-t9s9r.membytes,135905280.0
1724090948.023532,mirror-server-75cd876d75-j22cd.cpuutil,63.063988
1724090948.023532,mirror-server-75cd876d75-j22cd.membytes,200163328.0
1724090948.0249066,sim-server.cpuutil,883.511529
1724090948.0249066,sim-server.membytes,1332998144.0
1724090948.5614734,consumer-cfddd547f-t9s9r.cpuutil,95.11981
1724090948.5614734,consumer-cfddd547f-t9s9r.membytes,135905280.0
1724090948.5631735,mirror-server-75cd876d75-j22cd.cpuutil,63.063988
1724090948.5631735,mirror-server-75cd876d75-j22cd.membytes,200163328.0
1724090948.5646765,sim-server.cpuutil,883.511529
1724090948.5646765,sim-server.membytes,1332998144.0
1724090949.0335877,consumer-cfddd547f-t9s9r.cpuutil,95.11981
1724090949.0335877,consumer-cfddd547f-t9s9r.membytes,135905280.0
1724090949.035284,mirror-server-75cd876d75-j22cd.cpuutil,63.063988
1724090949.035284,mirror-server-75cd876d75-j22cd.membytes,200163328.0
1724090949.0366302,sim-server.cpuutil,883.511529
1724090949.0366302,sim-server.membytes,1332998144.0
1724090949.5739477,consumer-cfddd547f-t9s9r.cpuutil,95.11981
1724090949.5739477,consumer-cfddd547f-t9s9r.membytes,135905280.0
1724090949.575789,mirror-server-75cd876d75-j22cd.cpuutil,63.063988
1724090949.575789,mirror-server-75cd876d75-j22cd.membytes,200163328.0
1724090949.5773613,sim-server.cpuutil,883.511529
1724090949.5773613,sim-server.membytes,1332998144.0
1724090950.587879,consumer-cfddd547f-t9s9r.cpuutil,95.11981
1724090950.587879,consumer-cfddd547f-t9s9r.membytes,135905280.0
1724090950.5895178,mirror-server-75cd876d75-j22cd.cpuutil,63.063988
1724090950.5895178,mirror-server-75cd876d75-j22cd.membytes,200163328.0
1724090950.5910335,sim-server.cpuutil,883.511529
1724090950.5910335,sim-server.membytes,1332998144.0
1724090951.6055775,consumer-cfddd547f-t9s9r.cpuutil,95.11981
1724090951.6055775,consumer-cfddd547f-t9s9r.membytes,135905280.0
1724090951.607217,mirror-server-75cd876d75-j22cd.cpuutil,63.063988
1724090951.607217,mirror-server-75cd876d75-j22cd.membytes,200163328.0
1724090951.6085505,sim-server.cpuutil,883.511529
1724090951.6085505,sim-server.membytes,1332998144.0
1724090952.6182284,consumer-cfddd547f-t9s9r.cpuutil,95.11981
1724090952.6182284,consumer-cfddd547f-t9s9r.membytes,135905280.0
1724090952.6200044,mirror-server-75cd876d75-j22cd.cpuutil,63.063988
1724090952.6200044,mirror-server-75cd876d75-j22cd.membytes,200163328.0
1724090952.621473,sim-server.cpuutil,883.511529
1724090952.621473,sim-server.membytes,1332998144.0
1724090953.630864,consumer-cfddd547f-t9s9r.cpuutil,95.11981
1724090953.630864,consumer-cfddd547f-t9s9r.membytes,135905280.0
1724090953.6325433,mirror-server-75cd876d75-j22cd.cpuutil,63.063988
1724090953.6325433,mirror-server-75cd876d75-j22cd.membytes,200163328.0
1724090953.6339257,sim-server.cpuutil,883.511529
1724090953.6339257,sim-server.membytes,1332998144.0
1724090954.6434145,consumer-cfddd547f-t9s9r.cpuutil,95.11981
1724090954.6434145,consumer-cfddd547f-t9s9r.membytes,135905280.0
