time,sensor,value
1721969073.1209784,ptychonn.2.framesqueued,1.0
1721969073.1246684,ptychonn.2.framesqueued,2.0
1721969073.1272004,ptychonn.2.framesqueued,1.0
1721969073.1298404,ptychonn.2.framesqueued,0.0
1721969073.130342,ptychonn.2.framesqueued,1.0
1721969073.1334743,ptychonn.2.framesqueued,0.0
1721969073.134926,ptychonn.2.framesqueued,1.0
1721969073.1381242,ptychonn.2.framesqueued,0.0
1721969073.1393397,ptychonn.2.framesqueued,1.0
1721969073.141861,ptychonn.2.framesqueued,0.0
1721969073.1438825,ptychonn.2.framesqueued,1.0
1721969073.145973,ptychonn.2.framesqueued,0.0
1721969073.1488495,ptychonn.2.framesqueued,1.0
1721969073.1510522,ptychonn.2.framesqueued,0.0
1721969073.1537676,ptychonn.2.framesqueued,1.0
1721969073.1559002,ptychonn.2.framesqueued,0.0
1721969073.1596062,ptychonn.2.framesqueued,1.0
1721969073.1644158,ptychonn.2.framesqueued,2.0
1721969073.170069,ptychonn.2.framesqueued,3.0
1721969073.1888769,ptychonn.2.framesqueued,4.0
1721969073.2018502,ptychonn.2.framesqueued,5.0
1721969073.2025514,ptychonn.2.framesqueued,6.0
1721969073.2032611,ptychonn.2.framesqueued,7.0
1721969073.2037683,ptychonn.2.framesqueued,8.0
1721969073.2041605,ptychonn.2.framesqueued,9.0
1721969073.2047927,ptychonn.2.framesqueued,10.0
1721969073.210287,ptychonn.2.framesqueued,11.0
1721969073.2152421,ptychonn.2.framesqueued,12.0
1721969073.2202027,ptychonn.2.framesqueued,13.0
1721969073.2249892,ptychonn.2.framesqueued,14.0
1721969073.2392063,ptychonn.2.framesqueued,15.0
1721969073.239772,ptychonn.2.framesqueued,16.0
1721969073.240262,ptychonn.2.framesqueued,17.0
1721969073.2450821,ptychonn.2.framesqueued,18.0
1721969073.2500112,ptychonn.2.framesqueued,19.0
1721969073.2541816,ptychonn.2.framesqueued,20.0
1721969073.2587686,ptychonn.2.framesqueued,21.0
1721969073.2638183,ptychonn.2.framesqueued,22.0
1721969073.2687259,ptychonn.2.framesqueued,23.0
1721969073.2736595,ptychonn.2.framesqueued,24.0
1721969073.2786357,ptychonn.2.framesqueued,25.0
1721969073.283767,ptychonn.2.framesqueued,26.0
1721969073.2886343,ptychonn.2.framesqueued,27.0
1721969073.29374,ptychonn.2.framesqueued,28.0
1721969073.2985713,ptychonn.2.framesqueued,29.0
1721969073.3045032,ptychonn.2.batchesprocessed.total,1.0
1721969073.3049524,ptychonn.2.framesprocessed.total,8.0
1721969073.3048894,ptychonn.2.framesqueued,30.0
1721969073.3049974,ptychonn.2.inferTime.total,0.10245132446289062
1721969073.3058865,ptychonn.2.framesqueued,29.0
1721969073.3072188,ptychonn.2.framesqueued,28.0
1721969073.3080287,ptychonn.2.framesqueued,29.0
1721969073.3087666,ptychonn.2.framesqueued,28.0
1721969073.3099747,ptychonn.2.framesqueued,27.0
1721969073.3111837,ptychonn.2.framesqueued,26.0
