time,sensor,value
1721969580.8602514,mirror-server-84d76565df-29tzf.cpuutil,410.720384
1721969580.8602514,mirror-server-84d76565df-29tzf.membytes,190521344.0
1721969580.863252,sim-server.cpuutil,225.788703
1721969580.863252,sim-server.membytes,1210703872.0
1721969581.8726084,mirror-server-84d76565df-29tzf.cpuutil,410.720384
1721969581.8726084,mirror-server-84d76565df-29tzf.membytes,190521344.0
1721969581.8750315,sim-server.cpuutil,225.788703
1721969581.8750315,sim-server.membytes,1210703872.0
1721969582.8841507,mirror-server-84d76565df-29tzf.cpuutil,410.720384
1721969582.8841507,mirror-server-84d76565df-29tzf.membytes,190521344.0
1721969582.8864508,sim-server.cpuutil,225.788703
1721969582.8864508,sim-server.membytes,1210703872.0
1721969583.8955858,mirror-server-84d76565df-29tzf.cpuutil,410.720384
1721969583.8955858,mirror-server-84d76565df-29tzf.membytes,190521344.0
1721969583.8983755,sim-server.cpuutil,225.788703
1721969583.8983755,sim-server.membytes,1210703872.0
1721969584.9077315,mirror-server-84d76565df-29tzf.cpuutil,410.720384
1721969584.9077315,mirror-server-84d76565df-29tzf.membytes,190521344.0
1721969584.91055,sim-server.cpuutil,225.788703
1721969584.91055,sim-server.membytes,1210703872.0
1721969585.9207602,mirror-server-84d76565df-29tzf.cpuutil,410.720384
1721969585.9207602,mirror-server-84d76565df-29tzf.membytes,190521344.0
1721969585.923459,sim-server.cpuutil,225.788703
1721969585.923459,sim-server.membytes,1210703872.0
1721969586.932533,mirror-server-84d76565df-29tzf.cpuutil,410.720384
1721969586.932533,mirror-server-84d76565df-29tzf.membytes,190521344.0
1721969586.9348145,sim-server.cpuutil,225.788703
1721969586.9348145,sim-server.membytes,1210703872.0
1721969587.9439425,mirror-server-84d76565df-29tzf.cpuutil,410.720384
1721969587.9439425,mirror-server-84d76565df-29tzf.membytes,190521344.0
1721969587.9465334,sim-server.cpuutil,225.788703
1721969587.9465334,sim-server.membytes,1210703872.0
1721969588.956287,mirror-server-84d76565df-29tzf.cpuutil,410.720384
1721969588.956287,mirror-server-84d76565df-29tzf.membytes,190521344.0
1721969588.9589758,sim-server.cpuutil,225.788703
1721969588.9589758,sim-server.membytes,1210703872.0
1721969589.9742718,mirror-server-84d76565df-29tzf.cpuutil,410.720384
1721969589.9742718,mirror-server-84d76565df-29tzf.membytes,190521344.0
1721969589.9762776,sim-server.cpuutil,225.788703
1721969589.9762776,sim-server.membytes,1210703872.0
1721969590.9843476,mirror-server-84d76565df-29tzf.cpuutil,410.720384
1721969590.9843476,mirror-server-84d76565df-29tzf.membytes,190521344.0
1721969590.9863129,sim-server.cpuutil,225.788703
1721969590.9863129,sim-server.membytes,1210703872.0
1721969591.9948454,mirror-server-84d76565df-29tzf.cpuutil,410.720384
1721969591.9948454,mirror-server-84d76565df-29tzf.membytes,190521344.0
1721969591.9967735,sim-server.cpuutil,225.788703
