time,sensor,value
1722219615.1154823,consumer-5c4d4fb85b-rtw5q.cpuutil,637.925365
1722219615.1154823,consumer-5c4d4fb85b-rtw5q.membytes,507170816.0
1722219615.1172278,mirror-server-84d76565df-bq2gs.cpuutil,489.431772
1722219615.1172278,mirror-server-84d76565df-bq2gs.membytes,201576448.0
1722219615.1188552,sim-server.cpuutil,626.662116
1722219615.1188552,sim-server.membytes,1211080704.0
1722219616.1272237,consumer-5c4d4fb85b-rtw5q.cpuutil,637.925365
1722219616.1272237,consumer-5c4d4fb85b-rtw5q.membytes,507170816.0
1722219616.1290202,mirror-server-84d76565df-bq2gs.cpuutil,489.431772
1722219616.1290202,mirror-server-84d76565df-bq2gs.membytes,201576448.0
1722219616.1303,sim-server.cpuutil,626.662116
1722219616.1303,sim-server.membytes,1211080704.0
1722219617.1375778,consumer-5c4d4fb85b-rtw5q.cpuutil,637.925365
1722219617.1375778,consumer-5c4d4fb85b-rtw5q.membytes,507170816.0
1722219617.1393178,mirror-server-84d76565df-bq2gs.cpuutil,489.431772
1722219617.1393178,mirror-server-84d76565df-bq2gs.membytes,201576448.0
1722219617.1409395,sim-server.cpuutil,626.662116
1722219617.1409395,sim-server.membytes,1211080704.0
1722219618.1493332,consumer-5c4d4fb85b-rtw5q.cpuutil,637.925365
1722219618.1493332,consumer-5c4d4fb85b-rtw5q.membytes,507170816.0
1722219618.151293,mirror-server-84d76565df-bq2gs.cpuutil,489.431772
1722219618.151293,mirror-server-84d76565df-bq2gs.membytes,201576448.0
1722219618.1528146,sim-server.cpuutil,626.662116
1722219618.1528146,sim-server.membytes,1211080704.0
1722219619.1631792,consumer-5c4d4fb85b-rtw5q.cpuutil,637.925365
1722219619.1631792,consumer-5c4d4fb85b-rtw5q.membytes,507170816.0
1722219619.165604,mirror-server-84d76565df-bq2gs.cpuutil,489.431772
1722219619.165604,mirror-server-84d76565df-bq2gs.membytes,201576448.0
1722219619.167232,sim-server.cpuutil,626.662116
1722219619.167232,sim-server.membytes,1211080704.0
1722219620.1805763,consumer-5c4d4fb85b-rtw5q.cpuutil,637.925365
1722219620.1805763,consumer-5c4d4fb85b-rtw5q.membytes,507170816.0
1722219620.1828692,mirror-server-84d76565df-bq2gs.cpuutil,489.431772
1722219620.1828692,mirror-server-84d76565df-bq2gs.membytes,201576448.0
1722219620.1847239,sim-server.cpuutil,626.662116
1722219620.1847239,sim-server.membytes,1211080704.0
1722219621.1937597,consumer-5c4d4fb85b-rtw5q.cpuutil,637.925365
1722219621.1937597,consumer-5c4d4fb85b-rtw5q.membytes,507170816.0
1722219621.1955917,mirror-server-84d76565df-bq2gs.cpuutil,489.431772
1722219621.1955917,mirror-server-84d76565df-bq2gs.membytes,201576448.0
1722219621.1969137,sim-server.cpuutil,626.662116
1722219621.1969137,sim-server.membytes,1211080704.0
1722219622.2057416,consumer-5c4d4fb85b-rtw5q.cpuutil,637.925365
1722219622.2057416,consumer-5c4d4fb85b-rtw5q.membytes,507170816.0
1722219622.2076242,mirror-server-84d76565df-bq2gs.cpuutil,489.431772
1722219622.2076242,mirror-server-84d76565df-bq2gs.membytes,201576448.0
1722219622.2093585,sim-server.cpuutil,626.662116
1722219622.2093585,sim-server.membytes,1211080704.0
1722219623.2173648,consumer-5c4d4fb85b-rtw5q.cpuutil,637.925365
1722219623.2173648,consumer-5c4d4fb85b-rtw5q.membytes,507170816.0
1722219623.2196522,mirror-server-84d76565df-bq2gs.cpuutil,489.431772
1722219623.2196522,mirror-server-84d76565df-bq2gs.membytes,201576448.0
1722219623.2211835,sim-server.cpuutil,626.662116
1722219623.2211835,sim-server.membytes,1211080704.0
1722219624.2297275,consumer-5c4d4fb85b-rtw5q.cpuutil,637.925365
1722219624.2297275,consumer-5c4d4fb85b-rtw5q.membytes,507170816.0
1722219624.231759,mirror-server-84d76565df-bq2gs.cpuutil,489.431772
1722219624.231759,mirror-server-84d76565df-bq2gs.membytes,201576448.0
1722219624.2330236,sim-server.cpuutil,626.662116
1722219624.2330236,sim-server.membytes,1211080704.0
1722219625.2423747,consumer-5c4d4fb85b-rtw5q.cpuutil,637.925365
1722219625.2423747,consumer-5c4d4fb85b-rtw5q.membytes,507170816.0
1722219625.244255,mirror-server-84d76565df-bq2gs.cpuutil,489.431772
1722219625.244255,mirror-server-84d76565df-bq2gs.membytes,201576448.0
1722219625.24568,sim-server.cpuutil,626.662116
1722219625.24568,sim-server.membytes,1211080704.0
1722219626.253646,consumer-5c4d4fb85b-rtw5q.cpuutil,637.925365
1722219626.253646,consumer-5c4d4fb85b-rtw5q.membytes,507170816.0
1722219626.2552972,mirror-server-84d76565df-bq2gs.cpuutil,489.431772
1722219626.2552972,mirror-server-84d76565df-bq2gs.membytes,201576448.0
1722219626.2566347,sim-server.cpuutil,626.662116
1722219626.2566347,sim-server.membytes,1211080704.0
1722219627.2651155,consumer-5c4d4fb85b-rtw5q.cpuutil,637.925365
1722219627.2651155,consumer-5c4d4fb85b-rtw5q.membytes,507170816.0
1722219627.2666318,mirror-server-84d76565df-bq2gs.cpuutil,489.431772
1722219627.2666318,mirror-server-84d76565df-bq2gs.membytes,201576448.0
1722219627.267742,sim-server.cpuutil,626.662116
1722219627.267742,sim-server.membytes,1211080704.0
1722219628.2768893,consumer-5c4d4fb85b-rtw5q.cpuutil,637.925365
1722219628.2768893,consumer-5c4d4fb85b-rtw5q.membytes,507170816.0
1722219628.2789595,mirror-server-84d76565df-bq2gs.cpuutil,489.431772
1722219628.2789595,mirror-server-84d76565df-bq2gs.membytes,201576448.0
1722219628.281162,sim-server.cpuutil,626.662116
1722219628.281162,sim-server.membytes,1211080704.0
1722219629.2905874,consumer-5c4d4fb85b-rtw5q.cpuutil,637.925365
1722219629.2905874,consumer-5c4d4fb85b-rtw5q.membytes,507170816.0
1722219629.293101,mirror-server-84d76565df-bq2gs.cpuutil,489.431772
1722219629.293101,mirror-server-84d76565df-bq2gs.membytes,201576448.0
1722219629.2947989,sim-server.cpuutil,626.662116
1722219629.2947989,sim-server.membytes,1211080704.0
1722219630.3076184,consumer-5c4d4fb85b-rtw5q.cpuutil,2096.981637
1722219630.3076184,consumer-5c4d4fb85b-rtw5q.membytes,3424247808.0
1722219630.3091052,mirror-server-84d76565df-bq2gs.cpuutil,555.587051
1722219630.3091052,mirror-server-84d76565df-bq2gs.membytes,201216000.0
1722219630.3104727,sim-server.cpuutil,944.96848
1722219630.3104727,sim-server.membytes,1213054976.0
1722219631.3192606,consumer-5c4d4fb85b-rtw5q.cpuutil,2096.981637
1722219631.3192606,consumer-5c4d4fb85b-rtw5q.membytes,3424247808.0
1722219631.321471,mirror-server-84d76565df-bq2gs.cpuutil,555.587051
1722219631.321471,mirror-server-84d76565df-bq2gs.membytes,201216000.0
1722219631.323191,sim-server.cpuutil,944.96848
1722219631.323191,sim-server.membytes,1213054976.0
1722219632.3328185,consumer-5c4d4fb85b-rtw5q.cpuutil,2096.981637
1722219632.3328185,consumer-5c4d4fb85b-rtw5q.membytes,3424247808.0
1722219632.3346746,mirror-server-84d76565df-bq2gs.cpuutil,555.587051
1722219632.3346746,mirror-server-84d76565df-bq2gs.membytes,201216000.0
1722219632.33627,sim-server.cpuutil,944.96848
1722219632.33627,sim-server.membytes,1213054976.0
1722219633.3454323,consumer-5c4d4fb85b-rtw5q.cpuutil,2096.981637
1722219633.3454323,consumer-5c4d4fb85b-rtw5q.membytes,3424247808.0
1722219633.3681095,mirror-server-84d76565df-bq2gs.cpuutil,555.587051
1722219633.3681095,mirror-server-84d76565df-bq2gs.membytes,201216000.0
1722219633.369393,sim-server.cpuutil,944.96848
1722219633.369393,sim-server.membytes,1213054976.0
1722219634.3776054,consumer-5c4d4fb85b-rtw5q.cpuutil,2096.981637
1722219634.3776054,consumer-5c4d4fb85b-rtw5q.membytes,3424247808.0
1722219634.3795717,mirror-server-84d76565df-bq2gs.cpuutil,555.587051
1722219634.3795717,mirror-server-84d76565df-bq2gs.membytes,201216000.0
1722219634.3812807,sim-server.cpuutil,944.96848
1722219634.3812807,sim-server.membytes,1213054976.0
1722219635.3894112,consumer-5c4d4fb85b-rtw5q.cpuutil,2096.981637
1722219635.3894112,consumer-5c4d4fb85b-rtw5q.membytes,3424247808.0
1722219635.3910515,mirror-server-84d76565df-bq2gs.cpuutil,555.587051
1722219635.3910515,mirror-server-84d76565df-bq2gs.membytes,201216000.0
1722219635.3925428,sim-server.cpuutil,944.96848
1722219635.3925428,sim-server.membytes,1213054976.0
1722219636.4016232,consumer-5c4d4fb85b-rtw5q.cpuutil,2096.981637
1722219636.4016232,consumer-5c4d4fb85b-rtw5q.membytes,3424247808.0
1722219636.4031262,mirror-server-84d76565df-bq2gs.cpuutil,555.587051
1722219636.4031262,mirror-server-84d76565df-bq2gs.membytes,201216000.0
1722219636.4045773,sim-server.cpuutil,944.96848
1722219636.4045773,sim-server.membytes,1213054976.0
1722219637.413184,consumer-5c4d4fb85b-rtw5q.cpuutil,2096.981637
1722219637.413184,consumer-5c4d4fb85b-rtw5q.membytes,3424247808.0
1722219637.4153886,mirror-server-84d76565df-bq2gs.cpuutil,555.587051
1722219637.4153886,mirror-server-84d76565df-bq2gs.membytes,201216000.0
1722219637.4173102,sim-server.cpuutil,944.96848
1722219637.4173102,sim-server.membytes,1213054976.0
1722219638.426018,consumer-5c4d4fb85b-rtw5q.cpuutil,2096.981637
1722219638.426018,consumer-5c4d4fb85b-rtw5q.membytes,3424247808.0
1722219638.4278865,mirror-server-84d76565df-bq2gs.cpuutil,555.587051
1722219638.4278865,mirror-server-84d76565df-bq2gs.membytes,201216000.0
1722219638.429471,sim-server.cpuutil,944.96848
1722219638.429471,sim-server.membytes,1213054976.0
1722219639.438389,consumer-5c4d4fb85b-rtw5q.cpuutil,2096.981637
1722219639.438389,consumer-5c4d4fb85b-rtw5q.membytes,3424247808.0
1722219639.4405935,mirror-server-84d76565df-bq2gs.cpuutil,555.587051
1722219639.4405935,mirror-server-84d76565df-bq2gs.membytes,201216000.0
1722219639.442093,sim-server.cpuutil,944.96848
1722219639.442093,sim-server.membytes,1213054976.0
1722219640.4552736,consumer-5c4d4fb85b-rtw5q.cpuutil,2096.981637
1722219640.4552736,consumer-5c4d4fb85b-rtw5q.membytes,3424247808.0
1722219640.45689,mirror-server-84d76565df-bq2gs.cpuutil,555.587051
1722219640.45689,mirror-server-84d76565df-bq2gs.membytes,201216000.0
1722219640.4583902,sim-server.cpuutil,944.96848
1722219640.4583902,sim-server.membytes,1213054976.0
1722219641.4667306,consumer-5c4d4fb85b-rtw5q.cpuutil,2096.981637
1722219641.4667306,consumer-5c4d4fb85b-rtw5q.membytes,3424247808.0
1722219641.468797,mirror-server-84d76565df-bq2gs.cpuutil,555.587051
1722219641.468797,mirror-server-84d76565df-bq2gs.membytes,201216000.0
1722219641.4701388,sim-server.cpuutil,944.96848
1722219641.4701388,sim-server.membytes,1213054976.0
1722219642.4773707,consumer-5c4d4fb85b-rtw5q.cpuutil,2096.981637
1722219642.4773707,consumer-5c4d4fb85b-rtw5q.membytes,3424247808.0
1722219642.4790156,mirror-server-84d76565df-bq2gs.cpuutil,555.587051
1722219642.4790156,mirror-server-84d76565df-bq2gs.membytes,201216000.0
1722219642.4808962,sim-server.cpuutil,944.96848
1722219642.4808962,sim-server.membytes,1213054976.0
1722219643.4893837,consumer-5c4d4fb85b-rtw5q.cpuutil,2096.981637
1722219643.4893837,consumer-5c4d4fb85b-rtw5q.membytes,3424247808.0
1722219643.4911857,mirror-server-84d76565df-bq2gs.cpuutil,555.587051
1722219643.4911857,mirror-server-84d76565df-bq2gs.membytes,201216000.0
1722219643.4927402,sim-server.cpuutil,944.96848
1722219643.4927402,sim-server.membytes,1213054976.0
1722219644.50117,consumer-5c4d4fb85b-rtw5q.cpuutil,2096.981637
1722219644.50117,consumer-5c4d4fb85b-rtw5q.membytes,3424247808.0
1722219644.5029414,mirror-server-84d76565df-bq2gs.cpuutil,555.587051
1722219644.5029414,mirror-server-84d76565df-bq2gs.membytes,201216000.0
1722219644.504184,sim-server.cpuutil,944.96848
1722219644.504184,sim-server.membytes,1213054976.0
1722219645.5127277,consumer-5c4d4fb85b-rtw5q.cpuutil,2067.562194
1722219645.5127277,consumer-5c4d4fb85b-rtw5q.membytes,8933847040.0
1722219645.5142467,mirror-server-84d76565df-bq2gs.cpuutil,886.675167
1722219645.5142467,mirror-server-84d76565df-bq2gs.membytes,201043968.0
1722219645.5156453,sim-server.cpuutil,1028.964079
1722219645.5156453,sim-server.membytes,1213665280.0
1722219646.5244892,consumer-5c4d4fb85b-rtw5q.cpuutil,2067.562194
1722219646.5244892,consumer-5c4d4fb85b-rtw5q.membytes,8933847040.0
1722219646.5263088,mirror-server-84d76565df-bq2gs.cpuutil,886.675167
1722219646.5263088,mirror-server-84d76565df-bq2gs.membytes,201043968.0
1722219646.5277176,sim-server.cpuutil,1028.964079
1722219646.5277176,sim-server.membytes,1213665280.0
1722219647.535865,consumer-5c4d4fb85b-rtw5q.cpuutil,2067.562194
1722219647.535865,consumer-5c4d4fb85b-rtw5q.membytes,8933847040.0
1722219647.5381305,mirror-server-84d76565df-bq2gs.cpuutil,886.675167
1722219647.5381305,mirror-server-84d76565df-bq2gs.membytes,201043968.0
1722219647.5402622,sim-server.cpuutil,1028.964079
1722219647.5402622,sim-server.membytes,1213665280.0
1722219648.5500426,consumer-5c4d4fb85b-rtw5q.cpuutil,2067.562194
1722219648.5500426,consumer-5c4d4fb85b-rtw5q.membytes,8933847040.0
1722219648.5519114,mirror-server-84d76565df-bq2gs.cpuutil,886.675167
1722219648.5519114,mirror-server-84d76565df-bq2gs.membytes,201043968.0
1722219648.553415,sim-server.cpuutil,1028.964079
1722219648.553415,sim-server.membytes,1213665280.0
1722219649.5626967,consumer-5c4d4fb85b-rtw5q.cpuutil,2067.562194
1722219649.5626967,consumer-5c4d4fb85b-rtw5q.membytes,8933847040.0
1722219649.5645716,mirror-server-84d76565df-bq2gs.cpuutil,886.675167
1722219649.5645716,mirror-server-84d76565df-bq2gs.membytes,201043968.0
1722219649.56624,sim-server.cpuutil,1028.964079
1722219649.56624,sim-server.membytes,1213665280.0
1722219650.5800703,consumer-5c4d4fb85b-rtw5q.cpuutil,2067.562194
1722219650.5800703,consumer-5c4d4fb85b-rtw5q.membytes,8933847040.0
1722219650.5820775,mirror-server-84d76565df-bq2gs.cpuutil,886.675167
1722219650.5820775,mirror-server-84d76565df-bq2gs.membytes,201043968.0
1722219650.5838976,sim-server.cpuutil,1028.964079
1722219650.5838976,sim-server.membytes,1213665280.0
1722219651.5939832,consumer-5c4d4fb85b-rtw5q.cpuutil,2067.562194
1722219651.5939832,consumer-5c4d4fb85b-rtw5q.membytes,8933847040.0
1722219651.595808,mirror-server-84d76565df-bq2gs.cpuutil,886.675167
1722219651.595808,mirror-server-84d76565df-bq2gs.membytes,201043968.0
1722219651.597118,sim-server.cpuutil,1028.964079
1722219651.597118,sim-server.membytes,1213665280.0
1722219652.6052027,consumer-5c4d4fb85b-rtw5q.cpuutil,2067.562194
1722219652.6052027,consumer-5c4d4fb85b-rtw5q.membytes,8933847040.0
1722219652.6073153,mirror-server-84d76565df-bq2gs.cpuutil,886.675167
1722219652.6073153,mirror-server-84d76565df-bq2gs.membytes,201043968.0
1722219652.609104,sim-server.cpuutil,1028.964079
1722219652.609104,sim-server.membytes,1213665280.0
1722219653.618504,consumer-5c4d4fb85b-rtw5q.cpuutil,2067.562194
1722219653.618504,consumer-5c4d4fb85b-rtw5q.membytes,8933847040.0
1722219653.6202967,mirror-server-84d76565df-bq2gs.cpuutil,886.675167
1722219653.6202967,mirror-server-84d76565df-bq2gs.membytes,201043968.0
1722219653.621845,sim-server.cpuutil,1028.964079
1722219653.621845,sim-server.membytes,1213665280.0
1722219654.6292775,consumer-5c4d4fb85b-rtw5q.cpuutil,2067.562194
1722219654.6292775,consumer-5c4d4fb85b-rtw5q.membytes,8933847040.0
1722219654.631577,mirror-server-84d76565df-bq2gs.cpuutil,886.675167
1722219654.631577,mirror-server-84d76565df-bq2gs.membytes,201043968.0
1722219654.6331542,sim-server.cpuutil,1028.964079
1722219654.6331542,sim-server.membytes,1213665280.0
1722219655.6426876,consumer-5c4d4fb85b-rtw5q.cpuutil,2067.562194
1722219655.6426876,consumer-5c4d4fb85b-rtw5q.membytes,8933847040.0
1722219655.644491,mirror-server-84d76565df-bq2gs.cpuutil,886.675167
1722219655.644491,mirror-server-84d76565df-bq2gs.membytes,201043968.0
