time,sensor,value
1723473325.138528,consumer-5d55856b97-7nw4r.cpuutil,53.590178
1723473325.138528,consumer-5d55856b97-7nw4r.membytes,30445568.0
1723473325.1409879,mirror-server-75cd876d75-rxhvv.cpuutil,394.590553
1723473325.1409879,mirror-server-75cd876d75-rxhvv.membytes,203661312.0
1723473325.1431336,sim-server.cpuutil,105.631512
1723473325.1431336,sim-server.membytes,1210204160.0
1723473325.5957415,consumer-5d55856b97-7nw4r.cpuutil,53.590178
1723473325.5957415,consumer-5d55856b97-7nw4r.membytes,30445568.0
1723473325.5978963,mirror-server-75cd876d75-rxhvv.cpuutil,394.590553
1723473325.5978963,mirror-server-75cd876d75-rxhvv.membytes,203661312.0
1723473325.5999799,sim-server.cpuutil,105.631512
1723473325.5999799,sim-server.membytes,1210204160.0
1723473326.152351,consumer-5d55856b97-7nw4r.cpuutil,53.590178
1723473326.152351,consumer-5d55856b97-7nw4r.membytes,30445568.0
1723473326.1546276,mirror-server-75cd876d75-rxhvv.cpuutil,394.590553
1723473326.1546276,mirror-server-75cd876d75-rxhvv.membytes,203661312.0
1723473326.1559553,sim-server.cpuutil,105.631512
1723473326.1559553,sim-server.membytes,1210204160.0
1723473326.6086392,consumer-5d55856b97-7nw4r.cpuutil,53.590178
1723473326.6086392,consumer-5d55856b97-7nw4r.membytes,30445568.0
1723473326.6108613,mirror-server-75cd876d75-rxhvv.cpuutil,394.590553
1723473326.6108613,mirror-server-75cd876d75-rxhvv.membytes,203661312.0
1723473326.6123161,sim-server.cpuutil,105.631512
1723473326.6123161,sim-server.membytes,1210204160.0
1723473327.1643517,consumer-5d55856b97-7nw4r.cpuutil,53.590178
1723473327.1643517,consumer-5d55856b97-7nw4r.membytes,30445568.0
1723473327.1666317,mirror-server-75cd876d75-rxhvv.cpuutil,394.590553
1723473327.1666317,mirror-server-75cd876d75-rxhvv.membytes,203661312.0
1723473327.168183,sim-server.cpuutil,105.631512
1723473327.168183,sim-server.membytes,1210204160.0
1723473327.6204698,consumer-5d55856b97-7nw4r.cpuutil,53.590178
1723473327.6204698,consumer-5d55856b97-7nw4r.membytes,30445568.0
1723473327.6227245,mirror-server-75cd876d75-rxhvv.cpuutil,394.590553
1723473327.6227245,mirror-server-75cd876d75-rxhvv.membytes,203661312.0
1723473327.6241467,sim-server.cpuutil,105.631512
1723473327.6241467,sim-server.membytes,1210204160.0
1723473328.1767704,consumer-5d55856b97-7nw4r.cpuutil,53.590178
1723473328.1767704,consumer-5d55856b97-7nw4r.membytes,30445568.0
1723473328.178751,mirror-server-75cd876d75-rxhvv.cpuutil,394.590553
1723473328.178751,mirror-server-75cd876d75-rxhvv.membytes,203661312.0
1723473328.1803021,sim-server.cpuutil,105.631512
1723473328.1803021,sim-server.membytes,1210204160.0
1723473328.6330194,consumer-5d55856b97-7nw4r.cpuutil,53.590178
1723473328.6330194,consumer-5d55856b97-7nw4r.membytes,30445568.0
1723473328.6348908,mirror-server-75cd876d75-rxhvv.cpuutil,394.590553
1723473328.6348908,mirror-server-75cd876d75-rxhvv.membytes,203661312.0
1723473328.6362703,sim-server.cpuutil,105.631512
1723473328.6362703,sim-server.membytes,1210204160.0
1723473329.1904602,consumer-5d55856b97-7nw4r.cpuutil,53.590178
1723473329.1904602,consumer-5d55856b97-7nw4r.membytes,30445568.0
1723473329.1921902,mirror-server-75cd876d75-rxhvv.cpuutil,394.590553
1723473329.1921902,mirror-server-75cd876d75-rxhvv.membytes,203661312.0
1723473329.1934612,sim-server.cpuutil,105.631512
1723473329.1934612,sim-server.membytes,1210204160.0
1723473330.2023385,consumer-5d55856b97-7nw4r.cpuutil,53.590178
1723473330.2023385,consumer-5d55856b97-7nw4r.membytes,30445568.0
1723473330.2039795,mirror-server-75cd876d75-rxhvv.cpuutil,394.590553
1723473330.2039795,mirror-server-75cd876d75-rxhvv.membytes,203661312.0
1723473330.2054398,sim-server.cpuutil,105.631512
1723473330.2054398,sim-server.membytes,1210204160.0
1723473331.2189326,consumer-5d55856b97-7nw4r.cpuutil,53.590178
1723473331.2189326,consumer-5d55856b97-7nw4r.membytes,30445568.0
1723473331.2212002,mirror-server-75cd876d75-rxhvv.cpuutil,394.590553
1723473331.2212002,mirror-server-75cd876d75-rxhvv.membytes,203661312.0
1723473331.223093,sim-server.cpuutil,105.631512
1723473331.223093,sim-server.membytes,1210204160.0
1723473332.231433,consumer-5d55856b97-7nw4r.cpuutil,53.590178
1723473332.231433,consumer-5d55856b97-7nw4r.membytes,30445568.0
1723473332.233483,mirror-server-75cd876d75-rxhvv.cpuutil,394.590553
1723473332.233483,mirror-server-75cd876d75-rxhvv.membytes,203661312.0
1723473332.2350717,sim-server.cpuutil,105.631512
1723473332.2350717,sim-server.membytes,1210204160.0
1723473333.2434835,consumer-5d55856b97-7nw4r.cpuutil,53.590178
1723473333.2434835,consumer-5d55856b97-7nw4r.membytes,30445568.0
1723473333.2455661,mirror-server-75cd876d75-rxhvv.cpuutil,394.590553
1723473333.2455661,mirror-server-75cd876d75-rxhvv.membytes,203661312.0
1723473333.246923,sim-server.cpuutil,105.631512
1723473333.246923,sim-server.membytes,1210204160.0
1723473334.2551434,consumer-5d55856b97-7nw4r.cpuutil,53.590178
1723473334.2551434,consumer-5d55856b97-7nw4r.membytes,30445568.0
1723473334.2578154,mirror-server-75cd876d75-rxhvv.cpuutil,394.590553
1723473334.2578154,mirror-server-75cd876d75-rxhvv.membytes,203661312.0
1723473334.2599576,sim-server.cpuutil,105.631512
1723473334.2599576,sim-server.membytes,1210204160.0
1723473335.2688906,consumer-5d55856b97-7nw4r.cpuutil,53.590178
1723473335.2688906,consumer-5d55856b97-7nw4r.membytes,30445568.0
1723473335.2710881,mirror-server-75cd876d75-rxhvv.cpuutil,394.590553
1723473335.2710881,mirror-server-75cd876d75-rxhvv.membytes,203661312.0
1723473335.272906,sim-server.cpuutil,105.631512
1723473335.272906,sim-server.membytes,1210204160.0
1723473336.2815945,consumer-5d55856b97-7nw4r.cpuutil,53.590178
1723473336.2815945,consumer-5d55856b97-7nw4r.membytes,30445568.0
1723473336.2834952,mirror-server-75cd876d75-rxhvv.cpuutil,394.590553
1723473336.2834952,mirror-server-75cd876d75-rxhvv.membytes,203661312.0
1723473336.2851374,sim-server.cpuutil,105.631512
1723473336.2851374,sim-server.membytes,1210204160.0
1723473337.2937593,consumer-5d55856b97-7nw4r.cpuutil,53.590178
1723473337.2937593,consumer-5d55856b97-7nw4r.membytes,30445568.0
1723473337.2953975,mirror-server-75cd876d75-rxhvv.cpuutil,394.590553
1723473337.2953975,mirror-server-75cd876d75-rxhvv.membytes,203661312.0
1723473337.2968442,sim-server.cpuutil,105.631512
1723473337.2968442,sim-server.membytes,1210204160.0
1723473338.3047886,consumer-5d55856b97-7nw4r.cpuutil,53.590178
1723473338.3047886,consumer-5d55856b97-7nw4r.membytes,30445568.0
1723473338.3066587,mirror-server-75cd876d75-rxhvv.cpuutil,394.590553
1723473338.3066587,mirror-server-75cd876d75-rxhvv.membytes,203661312.0
1723473338.3081007,sim-server.cpuutil,105.631512
1723473338.3081007,sim-server.membytes,1210204160.0
1723473339.3167677,consumer-5d55856b97-7nw4r.cpuutil,53.590178
1723473339.3167677,consumer-5d55856b97-7nw4r.membytes,30445568.0
1723473339.318819,mirror-server-75cd876d75-rxhvv.cpuutil,394.590553
1723473339.318819,mirror-server-75cd876d75-rxhvv.membytes,203661312.0
1723473339.3204615,sim-server.cpuutil,105.631512
1723473339.3204615,sim-server.membytes,1210204160.0
1723473340.3290055,consumer-5d55856b97-7nw4r.cpuutil,318.343578
1723473340.3290055,consumer-5d55856b97-7nw4r.membytes,1412669440.0
1723473340.331284,mirror-server-75cd876d75-rxhvv.cpuutil,205.585852
1723473340.331284,mirror-server-75cd876d75-rxhvv.membytes,203866112.0
1723473340.3327885,sim-server.cpuutil,250.400852
1723473340.3327885,sim-server.membytes,1209753600.0
1723473341.3458433,consumer-5d55856b97-7nw4r.cpuutil,318.343578
1723473341.3458433,consumer-5d55856b97-7nw4r.membytes,1412669440.0
1723473341.3477788,mirror-server-75cd876d75-rxhvv.cpuutil,205.585852
1723473341.3477788,mirror-server-75cd876d75-rxhvv.membytes,203866112.0
1723473341.3494062,sim-server.cpuutil,250.400852
1723473341.3494062,sim-server.membytes,1209753600.0
1723473342.358398,consumer-5d55856b97-7nw4r.cpuutil,318.343578
1723473342.358398,consumer-5d55856b97-7nw4r.membytes,1412669440.0
1723473342.3606594,mirror-server-75cd876d75-rxhvv.cpuutil,205.585852
1723473342.3606594,mirror-server-75cd876d75-rxhvv.membytes,203866112.0
1723473342.3624272,sim-server.cpuutil,250.400852
1723473342.3624272,sim-server.membytes,1209753600.0
1723473343.3710864,consumer-5d55856b97-7nw4r.cpuutil,318.343578
1723473343.3710864,consumer-5d55856b97-7nw4r.membytes,1412669440.0
1723473343.3735504,mirror-server-75cd876d75-rxhvv.cpuutil,205.585852
1723473343.3735504,mirror-server-75cd876d75-rxhvv.membytes,203866112.0
1723473343.375508,sim-server.cpuutil,250.400852
1723473343.375508,sim-server.membytes,1209753600.0
1723473344.3846416,consumer-5d55856b97-7nw4r.cpuutil,318.343578
1723473344.3846416,consumer-5d55856b97-7nw4r.membytes,1412669440.0
1723473344.386479,mirror-server-75cd876d75-rxhvv.cpuutil,205.585852
1723473344.386479,mirror-server-75cd876d75-rxhvv.membytes,203866112.0
1723473344.3880816,sim-server.cpuutil,250.400852
1723473344.3880816,sim-server.membytes,1209753600.0
1723473345.3963513,consumer-5d55856b97-7nw4r.cpuutil,318.343578
1723473345.3963513,consumer-5d55856b97-7nw4r.membytes,1412669440.0
1723473345.398481,mirror-server-75cd876d75-rxhvv.cpuutil,205.585852
1723473345.398481,mirror-server-75cd876d75-rxhvv.membytes,203866112.0
1723473345.400716,sim-server.cpuutil,250.400852
1723473345.400716,sim-server.membytes,1209753600.0
1723473346.4086418,consumer-5d55856b97-7nw4r.cpuutil,318.343578
1723473346.4086418,consumer-5d55856b97-7nw4r.membytes,1412669440.0
1723473346.4111853,mirror-server-75cd876d75-rxhvv.cpuutil,205.585852
1723473346.4111853,mirror-server-75cd876d75-rxhvv.membytes,203866112.0
1723473346.4133503,sim-server.cpuutil,250.400852
1723473346.4133503,sim-server.membytes,1209753600.0
1723473347.4222047,consumer-5d55856b97-7nw4r.cpuutil,318.343578
1723473347.4222047,consumer-5d55856b97-7nw4r.membytes,1412669440.0
1723473347.4246302,mirror-server-75cd876d75-rxhvv.cpuutil,205.585852
1723473347.4246302,mirror-server-75cd876d75-rxhvv.membytes,203866112.0
1723473347.426499,sim-server.cpuutil,250.400852
1723473347.426499,sim-server.membytes,1209753600.0
1723473348.434967,consumer-5d55856b97-7nw4r.cpuutil,318.343578
1723473348.434967,consumer-5d55856b97-7nw4r.membytes,1412669440.0
1723473348.4374013,mirror-server-75cd876d75-rxhvv.cpuutil,205.585852
1723473348.4374013,mirror-server-75cd876d75-rxhvv.membytes,203866112.0
1723473348.4390643,sim-server.cpuutil,250.400852
1723473348.4390643,sim-server.membytes,1209753600.0
1723473349.4475515,consumer-5d55856b97-7nw4r.cpuutil,318.343578
1723473349.4475515,consumer-5d55856b97-7nw4r.membytes,1412669440.0
1723473349.4499648,mirror-server-75cd876d75-rxhvv.cpuutil,205.585852
1723473349.4499648,mirror-server-75cd876d75-rxhvv.membytes,203866112.0
1723473349.4514697,sim-server.cpuutil,250.400852
1723473349.4514697,sim-server.membytes,1209753600.0
1723473350.4596882,consumer-5d55856b97-7nw4r.cpuutil,318.343578
1723473350.4596882,consumer-5d55856b97-7nw4r.membytes,1412669440.0
1723473350.4620266,mirror-server-75cd876d75-rxhvv.cpuutil,205.585852
1723473350.4620266,mirror-server-75cd876d75-rxhvv.membytes,203866112.0
1723473350.464139,sim-server.cpuutil,250.400852
1723473350.464139,sim-server.membytes,1209753600.0
1723473351.4779758,consumer-5d55856b97-7nw4r.cpuutil,318.343578
1723473351.4779758,consumer-5d55856b97-7nw4r.membytes,1412669440.0
1723473351.4801846,mirror-server-75cd876d75-rxhvv.cpuutil,205.585852
1723473351.4801846,mirror-server-75cd876d75-rxhvv.membytes,203866112.0
1723473351.4819512,sim-server.cpuutil,250.400852
1723473351.4819512,sim-server.membytes,1209753600.0
1723473352.4921632,consumer-5d55856b97-7nw4r.cpuutil,318.343578
1723473352.4921632,consumer-5d55856b97-7nw4r.membytes,1412669440.0
1723473352.494242,mirror-server-75cd876d75-rxhvv.cpuutil,205.585852
1723473352.494242,mirror-server-75cd876d75-rxhvv.membytes,203866112.0
1723473352.496246,sim-server.cpuutil,250.400852
1723473352.496246,sim-server.membytes,1209753600.0
1723473353.5050519,consumer-5d55856b97-7nw4r.cpuutil,318.343578
1723473353.5050519,consumer-5d55856b97-7nw4r.membytes,1412669440.0
1723473353.5073218,mirror-server-75cd876d75-rxhvv.cpuutil,205.585852
1723473353.5073218,mirror-server-75cd876d75-rxhvv.membytes,203866112.0
1723473353.5087593,sim-server.cpuutil,250.400852
1723473353.5087593,sim-server.membytes,1209753600.0
1723473354.5173023,consumer-5d55856b97-7nw4r.cpuutil,318.343578
1723473354.5173023,consumer-5d55856b97-7nw4r.membytes,1412669440.0
1723473354.519326,mirror-server-75cd876d75-rxhvv.cpuutil,205.585852
1723473354.519326,mirror-server-75cd876d75-rxhvv.membytes,203866112.0
1723473354.5208118,sim-server.cpuutil,250.400852
1723473354.5208118,sim-server.membytes,1209753600.0
1723473355.5293405,consumer-5d55856b97-7nw4r.cpuutil,396.32645
1723473355.5293405,consumer-5d55856b97-7nw4r.membytes,2907521024.0
1723473355.5318549,mirror-server-75cd876d75-rxhvv.cpuutil,201.410406
1723473355.5318549,mirror-server-75cd876d75-rxhvv.membytes,203718656.0
1723473355.5335352,sim-server.cpuutil,318.661147
1723473355.5335352,sim-server.membytes,1211715584.0
1723473356.5421624,consumer-5d55856b97-7nw4r.cpuutil,396.32645
1723473356.5421624,consumer-5d55856b97-7nw4r.membytes,2907521024.0
1723473356.5442078,mirror-server-75cd876d75-rxhvv.cpuutil,201.410406
1723473356.5442078,mirror-server-75cd876d75-rxhvv.membytes,203718656.0
1723473356.5464268,sim-server.cpuutil,318.661147
1723473356.5464268,sim-server.membytes,1211715584.0
1723473357.5552342,consumer-5d55856b97-7nw4r.cpuutil,396.32645
1723473357.5552342,consumer-5d55856b97-7nw4r.membytes,2907521024.0
1723473357.5572164,mirror-server-75cd876d75-rxhvv.cpuutil,201.410406
1723473357.5572164,mirror-server-75cd876d75-rxhvv.membytes,203718656.0
1723473357.5587254,sim-server.cpuutil,318.661147
1723473357.5587254,sim-server.membytes,1211715584.0
1723473358.5667617,consumer-5d55856b97-7nw4r.cpuutil,396.32645
1723473358.5667617,consumer-5d55856b97-7nw4r.membytes,2907521024.0
1723473358.5687437,mirror-server-75cd876d75-rxhvv.cpuutil,201.410406
1723473358.5687437,mirror-server-75cd876d75-rxhvv.membytes,203718656.0
1723473358.570393,sim-server.cpuutil,318.661147
1723473358.570393,sim-server.membytes,1211715584.0
1723473359.5785692,consumer-5d55856b97-7nw4r.cpuutil,396.32645
1723473359.5785692,consumer-5d55856b97-7nw4r.membytes,2907521024.0
1723473359.580595,mirror-server-75cd876d75-rxhvv.cpuutil,201.410406
1723473359.580595,mirror-server-75cd876d75-rxhvv.membytes,203718656.0
1723473359.5824072,sim-server.cpuutil,318.661147
1723473359.5824072,sim-server.membytes,1211715584.0
1723473360.5915997,consumer-5d55856b97-7nw4r.cpuutil,396.32645
1723473360.5915997,consumer-5d55856b97-7nw4r.membytes,2907521024.0
1723473360.593415,mirror-server-75cd876d75-rxhvv.cpuutil,201.410406
1723473360.593415,mirror-server-75cd876d75-rxhvv.membytes,203718656.0
1723473360.5949676,sim-server.cpuutil,318.661147
1723473360.5949676,sim-server.membytes,1211715584.0
1723473361.608351,consumer-5d55856b97-7nw4r.cpuutil,396.32645
1723473361.608351,consumer-5d55856b97-7nw4r.membytes,2907521024.0
1723473361.6104143,mirror-server-75cd876d75-rxhvv.cpuutil,201.410406
1723473361.6104143,mirror-server-75cd876d75-rxhvv.membytes,203718656.0
1723473361.6117396,sim-server.cpuutil,318.661147
1723473361.6117396,sim-server.membytes,1211715584.0
1723473362.619965,consumer-5d55856b97-7nw4r.cpuutil,396.32645
1723473362.619965,consumer-5d55856b97-7nw4r.membytes,2907521024.0
1723473362.6219695,mirror-server-75cd876d75-rxhvv.cpuutil,201.410406
1723473362.6219695,mirror-server-75cd876d75-rxhvv.membytes,203718656.0
1723473362.6235254,sim-server.cpuutil,318.661147
1723473362.6235254,sim-server.membytes,1211715584.0
1723473363.634394,consumer-5d55856b97-7nw4r.cpuutil,396.32645
1723473363.634394,consumer-5d55856b97-7nw4r.membytes,2907521024.0
1723473363.6363847,mirror-server-75cd876d75-rxhvv.cpuutil,201.410406
1723473363.6363847,mirror-server-75cd876d75-rxhvv.membytes,203718656.0
1723473363.6382298,sim-server.cpuutil,318.661147
1723473363.6382298,sim-server.membytes,1211715584.0
1723473364.6469586,consumer-5d55856b97-7nw4r.cpuutil,396.32645
1723473364.6469586,consumer-5d55856b97-7nw4r.membytes,2907521024.0
1723473364.649298,mirror-server-75cd876d75-rxhvv.cpuutil,201.410406
1723473364.649298,mirror-server-75cd876d75-rxhvv.membytes,203718656.0
1723473364.65113,sim-server.cpuutil,318.661147
1723473364.65113,sim-server.membytes,1211715584.0
1723473365.6595216,consumer-5d55856b97-7nw4r.cpuutil,396.32645
1723473365.6595216,consumer-5d55856b97-7nw4r.membytes,2907521024.0
1723473365.6617813,mirror-server-75cd876d75-rxhvv.cpuutil,201.410406
1723473365.6617813,mirror-server-75cd876d75-rxhvv.membytes,203718656.0
1723473365.6632998,sim-server.cpuutil,318.661147
1723473365.6632998,sim-server.membytes,1211715584.0
1723473366.6718621,consumer-5d55856b97-7nw4r.cpuutil,396.32645
1723473366.6718621,consumer-5d55856b97-7nw4r.membytes,2907521024.0
1723473366.6740294,mirror-server-75cd876d75-rxhvv.cpuutil,201.410406
1723473366.6740294,mirror-server-75cd876d75-rxhvv.membytes,203718656.0
1723473366.675372,sim-server.cpuutil,318.661147
1723473366.675372,sim-server.membytes,1211715584.0
1723473367.6834617,consumer-5d55856b97-7nw4r.cpuutil,396.32645
1723473367.6834617,consumer-5d55856b97-7nw4r.membytes,2907521024.0
1723473367.68515,mirror-server-75cd876d75-rxhvv.cpuutil,201.410406
1723473367.68515,mirror-server-75cd876d75-rxhvv.membytes,203718656.0
1723473367.686965,sim-server.cpuutil,318.661147
1723473367.686965,sim-server.membytes,1211715584.0
1723473368.6952407,consumer-5d55856b97-7nw4r.cpuutil,396.32645
