time,sensor,value
1724091934.8794608,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,1.0
1724091934.8986526,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,2.0
1724091934.8998532,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,3.0
1724091935.0762637,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,4.0
1724091935.0774775,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,5.0
1724091935.0780668,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,6.0
1724091935.0787528,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,7.0
1724091935.0794337,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,8.0
1724091935.0799735,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,9.0
1724091935.0804992,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,10.0
1724091935.0810316,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,11.0
1724091935.0815892,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,12.0
1724091935.082184,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,13.0
1724091935.0827937,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,14.0
1724091935.0834744,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,15.0
1724091935.0841217,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,16.0
1724091935.0848153,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,17.0
1724091935.0855224,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,18.0
1724091935.0862617,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,19.0
1724091935.087028,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,20.0
1724091935.0877988,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,21.0
1724091935.0932965,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,22.0
1724091935.0989742,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,23.0
1724091935.1090295,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,24.0
1724091935.1190336,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,25.0
1724091935.1289327,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,26.0
1724091935.1549325,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,27.0
1724091935.1567106,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,28.0
1724091935.158938,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,29.0
1724091935.169083,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,30.0
1724091935.1791124,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,31.0
1724091935.190483,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,32.0
1724091935.1990483,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,33.0
1724091935.208975,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,34.0
1724091935.2549508,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,35.0
1724091935.2559292,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,36.0
1724091935.2568402,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,37.0
1724091935.2580025,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,38.0
1724091935.259064,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,39.0
1724091935.2689836,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,40.0
1724091935.2790027,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,41.0
1724091935.289,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,42.0
1724091935.2989483,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,43.0
1724091935.311748,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,44.0
1724091935.355006,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,45.0
1724091935.3566866,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,46.0
1724091935.3581214,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,47.0
1724091935.3592985,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,48.0
1724091935.360582,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,49.0
1724091935.368925,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,50.0
1724091935.3789241,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,51.0
1724091935.3890133,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,52.0
1724091935.39905,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,53.0
1724091935.4090059,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,54.0
1724091935.4551528,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,55.0
1724091935.45607,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,56.0
1724091935.456901,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,57.0
1724091935.4580178,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,58.0
1724091935.459002,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,59.0
1724091935.4690459,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,60.0
1724091935.479019,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,61.0
1724091935.4890087,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,62.0
1724091935.498909,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,63.0
1724091935.5091481,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,64.0
1724091935.5651443,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,65.0
1724091935.5663645,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,66.0
1724091935.567595,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,67.0
1724091935.5687718,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,66.0
1724091935.5693727,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,67.0
1724091935.57092,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,68.0
1724091935.5718458,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,69.0
1724091935.5728927,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,68.0
1724091935.5749583,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,67.0
1724091935.577151,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,66.0
1724091935.5784378,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,67.0
1724091935.5799804,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,66.0
1724091935.5816915,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,65.0
1724091935.5838847,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,64.0
1724091935.5856624,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,63.0
1724091935.5883074,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,64.0
1724091935.6090236,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,65.0
1724091935.6555705,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,66.0
1724091935.656484,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,67.0
1724091935.6574938,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,68.0
1724091935.6584513,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,69.0
1724091935.659335,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,70.0
1724091935.660188,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,71.0
1724091935.6705434,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,72.0
1724091935.6792603,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,73.0
1724091935.694104,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,74.0
1724091935.698962,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,75.0
1724091935.7090688,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,76.0
1724091935.7551749,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,77.0
1724091935.7560954,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,78.0
1724091935.756951,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,79.0
1724091935.7580178,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,80.0
1724091935.758993,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,81.0
1724091935.769038,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,82.0
1724091935.786214,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.batchesprocessed.total,1.0
1724091935.786776,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesprocessed.total,8.0
1724091935.7869058,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.inferTime.total,0.17710518836975098
1724091935.786706,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,83.0
1724091935.7877803,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,82.0
1724091935.7891083,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,83.0
1724091935.7893963,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,82.0
1724091935.7904813,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,81.0
1724091935.7914917,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,80.0
1724091935.7925053,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,79.0
1724091935.7937548,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,78.0
1724091935.7947392,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,77.0
1724091935.795406,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,76.0
1724091935.798292,8c7abbd7-b276-45d0-9eb1-f0ac03e940f9.2.framesqueued,77.0
