time,variable,value
1725597059.148129847,total_needed,0.0
1725597059.148129847,error,0
1725597059.148129847,control_signal,0.0
1725597061.217187892,total_needed,0.0
1725597061.217187892,error,0
1725597061.217187892,control_signal,0.0
1725597063.277106213,total_needed,0.0
1725597063.277106213,error,0
1725597063.277106213,control_signal,0.0
1725597065.341175327,total_needed,0.0
1725597065.341175327,error,0
1725597065.341175327,control_signal,0.0
1725597067.400503607,total_needed,0.0
1725597067.400503607,error,0
1725597067.400503607,control_signal,0.0
1725597069.462050272,total_needed,0.0
1725597069.462050272,error,0
1725597069.462050272,control_signal,0.0
1725597071.532110330,total_needed,0.0
1725597071.532110330,error,0
1725597071.532110330,control_signal,0.0
1725597073.592578269,total_needed,0.0
1725597073.592578269,error,0
1725597073.592578269,control_signal,0.0
1725597075.659340476,total_needed,0.0
1725597075.659340476,error,0
1725597075.659340476,control_signal,0.0
1725597077.723993831,total_needed,0.0
1725597077.723993831,error,0
1725597077.723993831,control_signal,0.0
1725597079.788338632,total_needed,0.0
1725597079.788338632,error,0
1725597079.788338632,control_signal,0.0
1725597081.848005553,total_needed,0.0
1725597081.848005553,error,0
1725597081.848005553,control_signal,0.0
1725597083.910093345,total_needed,0.0
1725597083.910093345,error,0
1725597083.910093345,control_signal,0.0
1725597085.974194585,total_needed,0.0
1725597085.974194585,error,0
1725597085.974194585,control_signal,0.0
1725597088.38461283,total_needed,0.0
1725597088.38461283,error,0
1725597088.38461283,control_signal,0.0
1725597090.100830430,total_needed,0.0
1725597090.100830430,error,0
1725597090.100830430,control_signal,0.0
1725597092.165296269,total_needed,0.0
1725597092.165296269,error,0
1725597092.165296269,control_signal,0.0
1725597094.227838098,total_needed,0.0
1725597094.227838098,error,0
1725597094.227838098,control_signal,0.0
1725597096.293286565,total_needed,0.0
1725597096.293286565,error,0
1725597096.293286565,control_signal,0.0
1725597098.365219585,total_needed,0.0
1725597098.365219585,error,0
1725597098.365219585,control_signal,0.0
1725597100.429573938,total_needed,0.0
1725597100.429573938,error,0
1725597100.429573938,control_signal,0.0
1725597102.503350397,total_needed,0.0
1725597102.503350397,error,0
1725597102.503350397,control_signal,0.0
1725597104.595920201,total_needed,0.0
1725597104.595920201,error,0
1725597104.595920201,control_signal,0.0
1725597106.683862479,total_needed,0.0
1725597106.683862479,error,0
1725597106.683862479,control_signal,0.0
1725597108.768725371,total_needed,0.0
1725597108.768725371,error,0
1725597108.768725371,control_signal,0.0
1725597110.847939082,total_needed,0.0
1725597110.847939082,error,0
1725597110.847939082,control_signal,0.0
1725597112.932737492,total_needed,1.0
1725597112.932737492,error,48.0
1725597112.932737492,control_signal,120.0
1725597115.16403068,total_needed,29.0
1725597115.16403068,error,787.0
1725597115.16403068,control_signal,1895.5
1725597117.115262873,total_needed,50.0
1725597117.115262873,error,1756.0
1725597117.115262873,control_signal,3209.5
1725597119.189267052,total_needed,88.0
1725597119.189267052,error,3329.0
1725597119.189267052,control_signal,5688.5
1725597121.281091183,total_needed,101.0
1725597121.281091183,error,4590.0
1725597121.281091183,control_signal,6481.5
1725597123.361331509,total_needed,94.0
1725597123.361331509,error,5185.0
1725597123.361331509,control_signal,6077.5
1725597125.449154154,total_needed,106.0
1725597125.449154154,error,5847.0
1725597125.449154154,control_signal,6840.0
1725597127.544475793,total_needed,119.0
1725597127.544475793,error,6569.0
1725597127.544475793,control_signal,7652.0
1725597129.636392341,total_needed,120.0
1725597129.636392341,error,7025.0
1725597129.636392341,control_signal,7709.0
1725597131.692593483,total_needed,117.0
1725597131.692593483,error,7216.0
1725597131.692593483,control_signal,7502.5
1725597133.755815017,total_needed,103.0
1725597133.755815017,error,6970.0
1725597133.755815017,control_signal,6601.0
1725597135.826600773,total_needed,62.0
1725597135.826600773,error,5786.0
1725597135.826600773,control_signal,4010.0
1725597137.911525745,total_needed,83.0
1725597137.911525745,error,5605.0
1725597137.911525745,control_signal,5333.5
1725597139.990243337,total_needed,72.0
1725597139.990243337,error,5214.0
1725597139.990243337,control_signal,4627.5
1725597142.58445661,total_needed,66.0
1725597142.58445661,error,4820.0
1725597142.58445661,control_signal,4229.0
1725597144.117265529,total_needed,63.0
1725597144.117265529,error,4519.0
1725597144.117265529,control_signal,4067.5
1725597146.192572037,total_needed,56.0
1725597146.192572037,error,4170.0
1725597146.192572037,control_signal,3646.5
1725597148.244995005,total_needed,51.0
1725597148.244995005,error,3811.0
1725597148.244995005,control_signal,3272.5
1725597150.321175328,total_needed,51.0
1725597150.321175328,error,3594.0
1725597150.321175328,control_signal,3268.5
1725597152.388723009,total_needed,39.0
1725597152.388723009,error,3173.0
1725597152.388723009,control_signal,2541.5
1725597154.459606220,total_needed,35.0
1725597154.459606220,error,2823.0
1725597154.459606220,control_signal,2298.0
1725597156.532441729,total_needed,27.0
1725597156.532441729,error,2404.0
1725597156.532441729,control_signal,1775.5
1725597158.616939283,total_needed,27.0
1725597158.616939283,error,2141.0
1725597158.616939283,control_signal,1746.5
1725597160.697195172,total_needed,26.0
1725597160.697195172,error,1968.0
1725597160.697195172,control_signal,1708.5
1725597162.795426712,total_needed,25.0
1725597162.795426712,error,1839.0
1725597162.795426712,control_signal,1645.5
1725597164.885009700,total_needed,26.0
1725597164.885009700,error,1771.0
1725597164.885009700,control_signal,1669.0
1725597166.965388305,total_needed,24.0
1725597166.965388305,error,1695.0
1725597166.965388305,control_signal,1581.0
1725597169.26477810,total_needed,23.0
1725597169.26477810,error,1621.0
1725597169.26477810,control_signal,1510.0
1725597171.141356940,total_needed,22.0
1725597171.141356940,error,1555.0
1725597171.141356940,control_signal,1456.0
1725597173.237293642,total_needed,19.0
1725597173.237293642,error,1429.0
1725597173.237293642,control_signal,1240.0
1725597175.337270671,total_needed,16.0
1725597175.337270671,error,1269.0
1725597175.337270671,control_signal,1029.0
1725597177.423321715,total_needed,14.0
1725597177.423321715,error,1125.0
1725597177.423321715,control_signal,909.0
1725597179.511606702,total_needed,11.0
1725597179.511606702,error,973.0
1725597179.511606702,control_signal,745.0
1725597181.604946828,total_needed,8.0
1725597181.604946828,error,813.0
1725597181.604946828,control_signal,573.0
1725597183.688951384,total_needed,6.0
1725597183.688951384,error,661.0
1725597183.688951384,control_signal,433.0
1725597185.759603915,total_needed,4.0
1725597185.759603915,error,509.0
1725597185.759603915,control_signal,281.0
