time,sensor,value
1726722672.570304,consumer-6f9c689655-7kwgh.cpuutil,2.434759
1726722672.570304,consumer-6f9c689655-7kwgh.membytes,433205248.0
1726722672.5726597,consumer-6f9c689655-dvnn2.cpuutil,2.524025
1726722672.5726597,consumer-6f9c689655-dvnn2.membytes,529854464.0
1726722672.574576,consumer-6f9c689655-fjp5z.cpuutil,2.296004
1726722672.574576,consumer-6f9c689655-fjp5z.membytes,467103744.0
1726722672.5762637,consumer-6f9c689655-fszf9.cpuutil,2.317482
1726722672.5762637,consumer-6f9c689655-fszf9.membytes,667185152.0
1726722672.577929,consumer-6f9c689655-h6zxv.cpuutil,2.623103
1726722672.577929,consumer-6f9c689655-h6zxv.membytes,691556352.0
1726722672.5793478,consumer-6f9c689655-lqbxp.cpuutil,2.579674
1726722672.5793478,consumer-6f9c689655-lqbxp.membytes,658583552.0
1726722672.580704,mirror-server-75cd876d75-kmm4z.cpuutil,0.466792
1726722672.580704,mirror-server-75cd876d75-kmm4z.membytes,694599680.0
1726722672.9472806,daemon.tick,1.0
1726722673.5898645,consumer-6f9c689655-7kwgh.cpuutil,2.434759
1726722673.5898645,consumer-6f9c689655-7kwgh.membytes,433205248.0
1726722673.5922153,consumer-6f9c689655-dvnn2.cpuutil,2.524025
1726722673.5922153,consumer-6f9c689655-dvnn2.membytes,529854464.0
1726722673.59395,consumer-6f9c689655-fjp5z.cpuutil,2.296004
1726722673.59395,consumer-6f9c689655-fjp5z.membytes,467103744.0
1726722673.595562,consumer-6f9c689655-fszf9.cpuutil,2.317482
1726722673.595562,consumer-6f9c689655-fszf9.membytes,667185152.0
1726722673.5971603,consumer-6f9c689655-h6zxv.cpuutil,2.623103
1726722673.5971603,consumer-6f9c689655-h6zxv.membytes,691556352.0
1726722673.5986245,consumer-6f9c689655-lqbxp.cpuutil,2.579674
1726722673.5986245,consumer-6f9c689655-lqbxp.membytes,658583552.0
1726722673.6000948,mirror-server-75cd876d75-kmm4z.cpuutil,0.466792
1726722673.6000948,mirror-server-75cd876d75-kmm4z.membytes,694599680.0
1726722673.94722,daemon.tick,1.0
1726722674.6101043,consumer-6f9c689655-7kwgh.cpuutil,2.533949
1726722674.6101043,consumer-6f9c689655-7kwgh.membytes,433225728.0
1726722674.6129136,consumer-6f9c689655-dvnn2.cpuutil,2.521522
1726722674.6129136,consumer-6f9c689655-dvnn2.membytes,529854464.0
1726722674.6153173,consumer-6f9c689655-fjp5z.cpuutil,2.456611
