time,sensor,value
1723674675.7664747,daemon.tick,1.0
1723674676.7666771,daemon.tick,1.0
1723674677.766896,daemon.tick,1.0
1723674678.7661004,daemon.tick,1.0
1723674679.7663329,daemon.tick,1.0
1723674680.7665565,daemon.tick,1.0
1723674681.7667646,daemon.tick,1.0
1723674682.7659655,daemon.tick,1.0
1723674683.766159,daemon.tick,1.0
1723674684.7663903,daemon.tick,1.0
1723674685.7666113,daemon.tick,1.0
1723674686.766859,daemon.tick,1.0
1723674687.7661247,daemon.tick,1.0
1723674688.7663405,daemon.tick,1.0
1723674689.7665482,daemon.tick,1.0
1723674690.766767,daemon.tick,1.0
1723674691.765836,daemon.tick,1.0
1723674692.766042,daemon.tick,1.0
1723674693.7662528,daemon.tick,1.0
1723674694.7664874,daemon.tick,1.0
1723674695.7666986,daemon.tick,1.0
1723674696.7668877,daemon.tick,1.0
1723674697.7657163,daemon.tick,1.0
1723674698.7669315,daemon.tick,1.0
1723674699.7661805,daemon.tick,1.0
1723674700.766387,daemon.tick,1.0
1723674701.7666352,daemon.tick,1.0
1723674702.766902,daemon.tick,1.0
1723674703.7661402,daemon.tick,1.0
1723674704.7663763,daemon.tick,1.0
1723674705.7666118,daemon.tick,1.0
1723674706.7667801,daemon.tick,1.0
1723674707.766076,daemon.tick,1.0
1723674708.766289,daemon.tick,1.0
1723674709.7654228,daemon.tick,1.0
1723674710.766641,daemon.tick,1.0
1723674711.7669218,daemon.tick,1.0
1723674712.7661555,daemon.tick,1.0
1723674713.766408,daemon.tick,1.0
1723674714.7666528,daemon.tick,1.0
1723674715.7668934,daemon.tick,1.0
1723674716.7651184,daemon.tick,1.0
1723674717.7663543,daemon.tick,1.0
1723674718.7664886,daemon.tick,1.0
1723674719.7666433,daemon.tick,1.0
1723674720.766887,daemon.tick,1.0
1723674721.7660975,daemon.tick,1.0
1723674722.766304,daemon.tick,1.0
1723674723.7654483,daemon.tick,1.0
1723674724.766672,daemon.tick,1.0
1723674725.7669044,daemon.tick,1.0
1723674726.7661052,daemon.tick,1.0
1723674727.7663205,daemon.tick,1.0
1723674728.76654,daemon.tick,1.0
1723674729.7667494,daemon.tick,1.0
1723674729.8300486,fbd27a2c-0cbb-4cfe-a67b-a570676c79a7.2.framesqueued,1.0
1723674729.8350158,fbd27a2c-0cbb-4cfe-a67b-a570676c79a7.2.framesqueued,0.0
1723674729.83892,fbd27a2c-0cbb-4cfe-a67b-a570676c79a7.2.framesqueued,1.0
1723674729.8411164,fbd27a2c-0cbb-4cfe-a67b-a570676c79a7.2.framesqueued,0.0
1723674729.8486867,fbd27a2c-0cbb-4cfe-a67b-a570676c79a7.2.framesqueued,1.0
1723674729.8509321,fbd27a2c-0cbb-4cfe-a67b-a570676c79a7.2.framesqueued,0.0
1723674729.8586938,fbd27a2c-0cbb-4cfe-a67b-a570676c79a7.2.framesqueued,1.0
1723674729.8608866,fbd27a2c-0cbb-4cfe-a67b-a570676c79a7.2.framesqueued,0.0
1723674729.8685174,fbd27a2c-0cbb-4cfe-a67b-a570676c79a7.2.framesqueued,1.0
1723674729.8706703,fbd27a2c-0cbb-4cfe-a67b-a570676c79a7.2.framesqueued,0.0
1723674729.878543,fbd27a2c-0cbb-4cfe-a67b-a570676c79a7.2.framesqueued,1.0
1723674729.8807561,fbd27a2c-0cbb-4cfe-a67b-a570676c79a7.2.framesqueued,0.0
1723674729.8887856,fbd27a2c-0cbb-4cfe-a67b-a570676c79a7.2.framesqueued,1.0
1723674729.891038,fbd27a2c-0cbb-4cfe-a67b-a570676c79a7.2.framesqueued,0.0
1723674729.898494,fbd27a2c-0cbb-4cfe-a67b-a570676c79a7.2.framesqueued,1.0
1723674729.9007032,fbd27a2c-0cbb-4cfe-a67b-a570676c79a7.2.framesqueued,0.0
