time,variable,value
1726724142.443914804,total_needed,0.0
1726724142.443914804,error,0
1726724142.443914804,control_signal,0.0
1726724142.443914804,consumer_spawned,0
1726724144.546243165,total_needed,0.0
1726724144.546243165,error,0
1726724144.546243165,control_signal,0.0
1726724144.546243165,consumer_spawned,0
1726724146.644776592,total_needed,0.0
1726724146.644776592,error,0
1726724146.644776592,control_signal,0.0
1726724146.644776592,consumer_spawned,0
1726724148.746332038,total_needed,0.0
1726724148.746332038,error,0
1726724148.746332038,control_signal,0.0
1726724148.746332038,consumer_spawned,0
1726724150.852251815,total_needed,0.0
1726724150.852251815,error,0
1726724150.852251815,control_signal,0.0
1726724150.852251815,consumer_spawned,0
1726724152.954657374,total_needed,0.0
1726724152.954657374,error,0
1726724152.954657374,control_signal,0.0
1726724152.954657374,consumer_spawned,0
1726724155.50429877,total_needed,0.0
1726724155.50429877,error,0
1726724155.50429877,control_signal,0.0
1726724155.50429877,consumer_spawned,0
1726724157.140713896,total_needed,0.0
1726724157.140713896,error,0
1726724157.140713896,control_signal,0.0
1726724157.140713896,consumer_spawned,0
1726724159.239038728,total_needed,0.0
1726724159.239038728,error,0
1726724159.239038728,control_signal,0.0
1726724159.239038728,consumer_spawned,0
1726724161.330250902,total_needed,0.0
1726724161.330250902,error,0
1726724161.330250902,control_signal,0.0
1726724161.330250902,consumer_spawned,0
1726724163.422960800,total_needed,0.0
1726724163.422960800,error,0
1726724163.422960800,control_signal,0.0
1726724163.422960800,consumer_spawned,0
1726724165.516203648,total_needed,0.0
1726724165.516203648,error,0
1726724165.516203648,control_signal,0.0
1726724165.516203648,consumer_spawned,0
1726724167.617309557,total_needed,0.0
1726724167.617309557,error,0
1726724167.617309557,control_signal,0.0
1726724167.617309557,consumer_spawned,0
1726724169.710765161,total_needed,0.0
1726724169.710765161,error,0
1726724169.710765161,control_signal,0.0
1726724169.710765161,consumer_spawned,0
1726724171.806091222,total_needed,0.0
1726724171.806091222,error,0
1726724171.806091222,control_signal,0.0
1726724171.806091222,consumer_spawned,0
1726724173.894359769,total_needed,0.0
1726724173.894359769,error,0
1726724173.894359769,control_signal,0.0
1726724173.894359769,consumer_spawned,0
1726724175.995821290,total_needed,0.0
1726724175.995821290,error,0
1726724175.995821290,control_signal,0.0
1726724175.995821290,consumer_spawned,1
1726724178.84078754,total_needed,0.0
1726724178.84078754,error,0
1726724178.84078754,control_signal,0.0
1726724178.84078754,consumer_spawned,1
1726724180.176117859,total_needed,0.0
1726724180.176117859,error,0
1726724180.176117859,control_signal,0.0
1726724180.176117859,consumer_spawned,1
1726724182.279545907,total_needed,0.0
1726724182.279545907,error,0
1726724182.279545907,control_signal,0.0
1726724182.279545907,consumer_spawned,1
1726724184.392369135,total_needed,0.0
1726724184.392369135,error,0
1726724184.392369135,control_signal,0.0
1726724184.392369135,consumer_spawned,1
1726724186.528316777,total_needed,0.0
1726724186.528316777,error,0
1726724186.528316777,control_signal,0.0
1726724186.528316777,consumer_spawned,1
1726724188.653577264,total_needed,0.0
1726724188.653577264,error,0
1726724188.653577264,control_signal,0.0
1726724188.653577264,consumer_spawned,1
1726724190.776247133,total_needed,0.0
1726724190.776247133,error,0
1726724190.776247133,control_signal,0.0
1726724190.776247133,consumer_spawned,1
1726724192.894021478,total_needed,0.0
1726724192.894021478,error,0
1726724192.894021478,control_signal,0.0
1726724192.894021478,consumer_spawned,1
1726724195.11329698,total_needed,0.0
1726724195.11329698,error,0
1726724195.11329698,control_signal,0.0
1726724195.11329698,consumer_spawned,1
1726724197.114741792,total_needed,10.0
1726724197.114741792,error,463.0
1726724197.114741792,control_signal,694.5
1726724197.114741792,consumer_spawned,1
1726724199.234590936,total_needed,27.0
1726724199.234590936,error,1323.0
1726724199.234590936,control_signal,1753.0
1726724199.234590936,consumer_spawned,1
1726724201.358322150,total_needed,60.0
1726724201.358322150,error,3041.0
1726724201.358322150,control_signal,3900.0
1726724201.358322150,consumer_spawned,8
1726724203.497082355,total_needed,66.0
1726724203.497082355,error,3855.0
1726724203.497082355,control_signal,4262.0
1726724203.497082355,consumer_spawned,14
1726724205.619907908,total_needed,84.0
1726724205.619907908,error,4875.0
1726724205.619907908,control_signal,5385.0
1726724205.619907908,consumer_spawned,12
1726724207.735533053,total_needed,67.0
1726724207.735533053,error,4499.0
1726724207.735533053,control_signal,4311.0
1726724207.735533053,consumer_spawned,12
1726724209.850688445,total_needed,68.0
1726724209.850688445,error,4420.0
1726724209.850688445,control_signal,4380.5
1726724209.850688445,consumer_spawned,12
1726724211.990249052,total_needed,77.0
1726724211.990249052,error,4794.0
1726724211.990249052,control_signal,4981.0
1726724211.990249052,consumer_spawned,12
1726724214.128227370,total_needed,84.0
1726724214.128227370,error,5189.0
1726724214.128227370,control_signal,5386.5
1726724214.128227370,consumer_spawned,13
1726724216.268844427,total_needed,80.0
1726724216.268844427,error,5155.0
1726724216.268844427,control_signal,5138.0
1726724216.268844427,consumer_spawned,19
1726724218.359866895,total_needed,73.0
1726724218.359866895,error,4875.0
