time,variable,value
1726728094.832365723,total_needed,0.0
1726728094.832365723,error,0
1726728094.832365723,control_signal,0.0
1726728094.832365723,consumer_spawned,0
1726728096.947118526,total_needed,0.0
1726728096.947118526,error,0
1726728096.947118526,control_signal,0.0
1726728096.947118526,consumer_spawned,0
1726728099.65211368,total_needed,0.0
1726728099.65211368,error,0
1726728099.65211368,control_signal,0.0
1726728099.65211368,consumer_spawned,0
1726728101.176396412,total_needed,0.0
1726728101.176396412,error,0
1726728101.176396412,control_signal,0.0
1726728101.176396412,consumer_spawned,0
1726728103.302763360,total_needed,0.0
1726728103.302763360,error,0
1726728103.302763360,control_signal,0.0
1726728103.302763360,consumer_spawned,0
1726728105.411653782,total_needed,0.0
1726728105.411653782,error,0
1726728105.411653782,control_signal,0.0
1726728105.411653782,consumer_spawned,0
1726728107.522306579,total_needed,0.0
1726728107.522306579,error,0
1726728107.522306579,control_signal,0.0
1726728107.522306579,consumer_spawned,0
1726728109.622928087,total_needed,0.0
1726728109.622928087,error,0
1726728109.622928087,control_signal,0.0
1726728109.622928087,consumer_spawned,0
1726728111.733023391,total_needed,0.0
1726728111.733023391,error,0
1726728111.733023391,control_signal,0.0
1726728111.733023391,consumer_spawned,0
1726728113.838739361,total_needed,0.0
1726728113.838739361,error,0
1726728113.838739361,control_signal,0.0
1726728113.838739361,consumer_spawned,0
1726728115.953669893,total_needed,0.0
1726728115.953669893,error,0
1726728115.953669893,control_signal,0.0
1726728115.953669893,consumer_spawned,0
1726728118.44784886,total_needed,0.0
1726728118.44784886,error,0
1726728118.44784886,control_signal,0.0
1726728118.44784886,consumer_spawned,0
1726728120.147407077,total_needed,0.0
1726728120.147407077,error,0
1726728120.147407077,control_signal,0.0
1726728120.147407077,consumer_spawned,0
1726728122.254584487,total_needed,0.0
1726728122.254584487,error,0
1726728122.254584487,control_signal,0.0
1726728122.254584487,consumer_spawned,0
1726728124.364833002,total_needed,0.0
1726728124.364833002,error,0
1726728124.364833002,control_signal,0.0
1726728124.364833002,consumer_spawned,0
1726728126.476741303,total_needed,0.0
1726728126.476741303,error,0
1726728126.476741303,control_signal,0.0
1726728126.476741303,consumer_spawned,0
1726728128.580288733,total_needed,0.0
1726728128.580288733,error,0
1726728128.580288733,control_signal,0.0
1726728128.580288733,consumer_spawned,0
1726728130.684819799,total_needed,0.0
1726728130.684819799,error,0
1726728130.684819799,control_signal,0.0
1726728130.684819799,consumer_spawned,1
1726728132.781850340,total_needed,0.0
1726728132.781850340,error,0
1726728132.781850340,control_signal,0.0
1726728132.781850340,consumer_spawned,1
1726728134.882034122,total_needed,0.0
1726728134.882034122,error,0
1726728134.882034122,control_signal,0.0
1726728134.882034122,consumer_spawned,1
1726728136.995230964,total_needed,0.0
1726728136.995230964,error,0
1726728136.995230964,control_signal,0.0
1726728136.995230964,consumer_spawned,1
1726728139.118121984,total_needed,0.0
1726728139.118121984,error,0
1726728139.118121984,control_signal,0.0
1726728139.118121984,consumer_spawned,1
1726728141.247115466,total_needed,0.0
1726728141.247115466,error,0
1726728141.247115466,control_signal,0.0
1726728141.247115466,consumer_spawned,1
1726728143.376242633,total_needed,0.0
1726728143.376242633,error,0
1726728143.376242633,control_signal,0.0
1726728143.376242633,consumer_spawned,1
1726728145.500143465,total_needed,0.0
1726728145.500143465,error,0
1726728145.500143465,control_signal,0.0
1726728145.500143465,consumer_spawned,1
1726728147.628955680,total_needed,0.0
1726728147.628955680,error,0
1726728147.628955680,control_signal,0.0
1726728147.628955680,consumer_spawned,1
1726728149.755834663,total_needed,10.0
1726728149.755834663,error,269.0
1726728149.755834663,control_signal,672.5
1726728149.755834663,consumer_spawned,1
1726728151.899674941,total_needed,37
1726728151.899674941,error,1126.0
1726728151.899674941,control_signal,2411.5
1726728151.899674941,consumer_spawned,1
1726728154.34462089,total_needed,37
1726728154.34462089,error,2839.0
1726728154.34462089,control_signal,5408.5
1726728154.34462089,consumer_spawned,8
1726728156.161599544,total_needed,37
1726728156.161599544,error,3326.0
1726728156.161599544,control_signal,4056.5
1726728156.161599544,consumer_spawned,13
1726728158.300179770,total_needed,37
1726728158.300179770,error,3565.0
1726728158.300179770,control_signal,3923.5
1726728158.300179770,consumer_spawned,16
1726728160.442647358,total_needed,37
1726728160.442647358,error,3704.0
1726728160.442647358,control_signal,3912.5
1726728160.442647358,consumer_spawned,14
1726728162.584091960,total_needed,37
1726728162.584091960,error,3827.0
1726728162.584091960,control_signal,4011.5
1726728162.584091960,consumer_spawned,14
1726728164.718143772,total_needed,37
1726728164.718143772,error,3946.0
1726728164.718143772,control_signal,4124.5
1726728164.718143772,consumer_spawned,14
1726728166.868382904,total_needed,37
1726728166.868382904,error,3896.0
1726728166.868382904,control_signal,3821.0
1726728166.868382904,consumer_spawned,19
1726728168.983022553,total_needed,37
1726728168.983022553,error,3800.0
1726728168.983022553,control_signal,3656.0
1726728168.983022553,consumer_spawned,25
1726728171.104644579,total_needed,37
1726728171.104644579,error,3636.0
1726728171.104644579,control_signal,3390.0
1726728171.104644579,consumer_spawned,27
1726728173.220191563,total_needed,37
1726728173.220191563,error,3506.0
1726728173.220191563,control_signal,3311.0
1726728173.220191563,consumer_spawned,32
1726728175.322779071,total_needed,37
1726728175.322779071,error,3174.0
1726728175.322779071,control_signal,2676.0
1726728175.322779071,consumer_spawned,28
1726728177.454607996,total_needed,27.0
1726728177.454607996,error,2621.0
1726728177.454607996,control_signal,1791.5
1726728177.454607996,consumer_spawned,28
1726728179.568147707,total_needed,24.0
1726728179.568147707,error,2192.0
1726728179.568147707,control_signal,1548.5
1726728179.568147707,consumer_spawned,27
1726728181.659180914,total_needed,23.0
1726728181.659180914,error,1914.0
1726728181.659180914,control_signal,1497.0
1726728181.659180914,consumer_spawned,24
1726728183.761581556,total_needed,14.0
1726728183.761581556,error,1532.0
1726728183.761581556,control_signal,959.0
1726728183.761581556,consumer_spawned,23
1726728185.870581477,total_needed,8.0
1726728185.870581477,error,1139.0
1726728185.870581477,control_signal,549.5
1726728185.870581477,consumer_spawned,14
1726728188.30087125,total_needed,13.0
1726728188.30087125,error,1023.0
1726728188.30087125,control_signal,849.0
1726728188.30087125,consumer_spawned,8
1726728190.157787681,total_needed,12.0
1726728190.157787681,error,926.0
1726728190.157787681,control_signal,780.5
1726728190.157787681,consumer_spawned,13
1726728192.267559051,total_needed,17.0
1726728192.267559051,error,994.0
1726728192.267559051,control_signal,1096.0
1726728192.267559051,consumer_spawned,11
1726728194.366639193,total_needed,8.0
1726728194.366639193,error,806.0
1726728194.366639193,control_signal,524.0
1726728194.366639193,consumer_spawned,16
1726728196.502764304,total_needed,13.0
1726728196.502764304,error,826.0
1726728196.502764304,control_signal,856.0
1726728196.502764304,consumer_spawned,8
1726728198.622583455,total_needed,5.0
1726728198.622583455,error,637.0
1726728198.622583455,control_signal,353.5
1726728198.622583455,consumer_spawned,13
1726728200.730188381,total_needed,6.0
1726728200.730188381,error,540.0
1726728200.730188381,control_signal,394.5
1726728200.730188381,consumer_spawned,5
1726728202.825506747,total_needed,2.0
1726728202.825506747,error,386.0
1726728202.825506747,control_signal,155.0
1726728202.825506747,consumer_spawned,5
1726728204.961729938,total_needed,1.0
1726728204.961729938,error,275.0
1726728204.961729938,control_signal,108.5
1726728204.961729938,consumer_spawned,2
1726728207.94085312,total_needed,0.0
1726728207.94085312,error,188.0
1726728207.94085312,control_signal,57.5
1726728207.94085312,consumer_spawned,1
1726728209.230670679,total_needed,-2.0
1726728209.230670679,error,78.0
1726728209.230670679,control_signal,-87.0
1726728209.230670679,consumer_spawned,1
1726728211.366534650,total_needed,-2.0
1726728211.366534650,error,0.0
1726728211.366534650,control_signal,-117.0
1726728211.366534650,consumer_spawned,1
1726728213.490155380,total_needed,0.0
1726728213.490155380,error,0.0
1726728213.490155380,control_signal,0.0
1726728213.490155380,consumer_spawned,1
1726728215.641887843,total_needed,0.0
1726728215.641887843,error,0.0
1726728215.641887843,control_signal,0.0
1726728215.641887843,consumer_spawned,1
1726728217.763680361,total_needed,0.0
1726728217.763680361,error,0.0
1726728217.763680361,control_signal,0.0
1726728217.763680361,consumer_spawned,1
1726728219.896966408,total_needed,0.0
1726728219.896966408,error,0.0
1726728219.896966408,control_signal,0.0
1726728219.896966408,consumer_spawned,1
1726728222.25079096,total_needed,0.0
1726728222.25079096,error,0.0
1726728222.25079096,control_signal,0.0
1726728222.25079096,consumer_spawned,1
