time,variable,value
1724904943.768075452,total_needed,0
1724904943.768075452,error,0
1724904943.768075452,control_signal,0
1724904948.963651583,total_needed,0
1724904948.963651583,error,0
1724904948.963651583,control_signal,0
1724904954.179998366,total_needed,0
1724904954.179998366,error,0
1724904954.179998366,control_signal,0
1724904959.434525146,total_needed,0
1724904959.434525146,error,0
1724904959.434525146,control_signal,0
1724904964.662617568,total_needed,0
1724904964.662617568,error,0
1724904964.662617568,control_signal,0
1724904969.906018181,total_needed,2.0
1724904969.906018181,error,19.0
1724904969.906018181,control_signal,152.0
1724904975.157443676,total_needed,135.0
1724904975.157443676,error,1093.0
1724904975.157443676,control_signal,8687.0
1724904980.421978265,total_needed,455.0
1724904980.421978265,error,4056.0
1724904980.421978265,control_signal,29169.0
1724904985.679922987,total_needed,442.0
1724904985.679922987,error,5061.0
1724904985.679922987,control_signal,28320.0
1724904990.947162191,total_needed,495.0
1724904990.947162191,error,5862.0
1724904990.947162191,control_signal,31713.0
1724904996.160001963,total_needed,81.0
1724904996.160001963,error,2847.0
1724904996.160001963,control_signal,5190.0
1724905001.359756839,total_needed,71.0
1724905001.359756839,error,1641.0
1724905001.359756839,control_signal,4587.0
1724905006.601576121,total_needed,20.0
1724905006.601576121,error,781.0
1724905006.601576121,control_signal,1325.0
1724905011.836023118,total_needed,-28.0
1724905011.836023118,error,74.0
1724905011.836023118,control_signal,-1751.0
1724905017.50175153,total_needed,-3.0
1724905017.50175153,error,5.0
1724905017.50175153,control_signal,-182.0
1724905022.301472584,total_needed,0.0
1724905022.301472584,error,8.0
1724905022.301472584,control_signal,49.0
1724905027.562703604,total_needed,-1.0
1724905027.562703604,error,0.0
1724905027.562703604,control_signal,-24.0
1724905032.840228232,total_needed,0.0
1724905032.840228232,error,0.0
1724905032.840228232,control_signal,0.0
1724905038.114580912,total_needed,0.0
1724905038.114580912,error,0.0
1724905038.114580912,control_signal,0.0
