time,variable,value
1724909559.301902226,total_needed,0
1724909559.301902226,error,0
1724909559.301902226,control_signal,0
1724909564.501878659,total_needed,0
1724909564.501878659,error,0
1724909564.501878659,control_signal,0
1724909569.688705595,total_needed,0
1724909569.688705595,error,0
1724909569.688705595,control_signal,0
1724909574.918901036,total_needed,0
1724909574.918901036,error,0
1724909574.918901036,control_signal,0
1724909580.142164601,total_needed,0
1724909580.142164601,error,0
1724909580.142164601,control_signal,0
1724909585.373618122,total_needed,2.0
1724909585.373618122,error,21.0
1724909585.373618122,control_signal,168.0
1724909590.574320929,total_needed,59.0
1724909590.574320929,error,487.0
1724909590.574320929,control_signal,3833.0
1724909595.801545539,total_needed,434.0
1724909595.801545539,error,3658.0
1724909595.801545539,control_signal,27803.0
1724909601.53473122,total_needed,364.0
1724909601.53473122,error,4289.0
1724909601.53473122,control_signal,23338.0
1724909606.269886970,total_needed,629.0
1724909606.269886970,error,6644.0
1724909606.269886970,control_signal,40285.0
1724909611.492173755,total_needed,392.0
1724909611.492173755,error,5631.0
1724909611.492173755,control_signal,25116.0
1724909616.690595388,total_needed,338.0
1724909616.690595388,error,4817.0
1724909616.690595388,control_signal,21643.0
1724909621.937973695,total_needed,299.0
1724909621.937973695,error,4199.0
1724909621.937973695,control_signal,19141.0
1724909627.164080747,total_needed,240.0
1724909627.164080747,error,3497.0
1724909627.164080747,control_signal,15379.0
1724909632.390507265,total_needed,159.0
1724909632.390507265,error,2584.0
1724909632.390507265,control_signal,10181.0
1724909637.599591012,total_needed,102.0
1724909637.599591012,error,1790.0
1724909637.599591012,control_signal,6568.0
1724909642.827496445,total_needed,-34.0
1724909642.827496445,error,406.0
1724909642.827496445,control_signal,-2122.0
1724909648.63251577,total_needed,-11.0
1724909648.63251577,error,72.0
1724909648.63251577,control_signal,-642.0
1724909653.312115532,total_needed,5.0
1724909653.312115532,error,72.0
1724909653.312115532,control_signal,360.0
