time,variable,value
172488405628505292,total_needed,0
172488405628505292,error,0
172488405628505292,control_signal,0
1724884061194885022,total_needed,0
1724884061194885022,error,0
1724884061194885022,control_signal,0
1724884066375996213,total_needed,0
1724884066375996213,error,0
1724884066375996213,control_signal,0
1724884071559730636,total_needed,0
1724884071559730636,error,0
1724884071559730636,control_signal,0
1724884076718414816,total_needed,0
1724884076718414816,error,0
1724884076718414816,control_signal,0
1724884081887660582,total_needed,0
1724884081887660582,error,0
1724884081887660582,control_signal,0
172488408744097888,total_needed,0
172488408744097888,error,0
172488408744097888,control_signal,0
1724884092196081921,total_needed,0
1724884092196081921,error,0
1724884092196081921,control_signal,0
1724884097355369828,total_needed,0
1724884097355369828,error,0
1724884097355369828,control_signal,0
1724884102509127076,total_needed,0
1724884102509127076,error,0
1724884102509127076,control_signal,0
1724884107687154040,total_needed,0
1724884107687154040,error,0
1724884107687154040,control_signal,0
1724884112925426808,total_needed,0
1724884112925426808,error,0
1724884112925426808,control_signal,0
1724884118146876706,total_needed,37.0
1724884118146876706,error,298.0
1724884118146876706,control_signal,2384.0
1724884123416490706,total_needed,395.0
1724884123416490706,error,3274.0
1724884123416490706,control_signal,25298.0
1724884128652054819,total_needed,314.0
1724884128652054819,error,3741.0
1724884128652054819,control_signal,20106.0
1724884133856017709,total_needed,195.0
1724884133856017709,error,2963.0
1724884133856017709,control_signal,12481.0
172488413929971056,total_needed,149.0
172488413929971056,error,2309.0
172488413929971056,control_signal,9583.0
1724884144228061268,total_needed,125.0
1724884144228061268,error,1869.0
1724884144228061268,control_signal,8025.0
1724884149449667156,total_needed,55.0
1724884149449667156,error,1141.0
1724884149449667156,control_signal,3521.0
1724884154690465283,total_needed,58.0
1724884154690465283,error,895.0
1724884154690465283,control_signal,3737.0
1724884159924226899,total_needed,36.0
1724884159924226899,error,628.0
1724884159924226899,control_signal,2339.0
1724884165162612020,total_needed,20.0
1724884165162612020,error,399.0
1724884165162612020,control_signal,1308.0
1724884170408086877,total_needed,-1.0
1724884170408086877,error,147.0
1724884170408086877,control_signal,-21.0
1724884175625641959,total_needed,-7.0
1724884175625641959,error,0.0
1724884175625641959,control_signal,-441.0
1724884180847974111,total_needed,0.0
1724884180847974111,error,0.0
1724884180847974111,control_signal,0.0
172488418694806796,total_needed,0.0
172488418694806796,error,0.0
172488418694806796,control_signal,0.0
