time,sensor,value
1724181009.81045,daemon.tick,1.0
1724181010.5856187,consumer-677689b977-sxk5t.cpuutil,200.642096
1724181010.5856187,consumer-677689b977-sxk5t.membytes,1570488320.0
1724181010.5874536,mirror-server-75cd876d75-7zz5h.cpuutil,0.242671
1724181010.5874536,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181010.8105507,daemon.tick,1.0
1724181011.5976448,consumer-677689b977-sxk5t.cpuutil,200.642096
1724181011.5976448,consumer-677689b977-sxk5t.membytes,1570488320.0
1724181011.5993676,mirror-server-75cd876d75-7zz5h.cpuutil,0.242671
1724181011.5993676,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181011.8104353,daemon.tick,1.0
1724181012.6088011,consumer-677689b977-sxk5t.cpuutil,200.642096
1724181012.6088011,consumer-677689b977-sxk5t.membytes,1570488320.0
1724181012.6104543,mirror-server-75cd876d75-7zz5h.cpuutil,0.242671
1724181012.6104543,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181012.810552,daemon.tick,1.0
1724181013.6194503,consumer-677689b977-sxk5t.cpuutil,200.642096
1724181013.6194503,consumer-677689b977-sxk5t.membytes,1570488320.0
1724181013.621158,mirror-server-75cd876d75-7zz5h.cpuutil,0.242671
1724181013.621158,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181013.8100677,daemon.tick,1.0
1724181014.6295736,consumer-677689b977-sxk5t.cpuutil,200.642096
1724181014.6295736,consumer-677689b977-sxk5t.membytes,1570488320.0
1724181014.631284,mirror-server-75cd876d75-7zz5h.cpuutil,0.242671
1724181014.631284,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181014.810312,daemon.tick,1.0
1724181015.6399174,consumer-677689b977-sxk5t.cpuutil,200.642096
1724181015.6399174,consumer-677689b977-sxk5t.membytes,1570488320.0
1724181015.6415982,mirror-server-75cd876d75-7zz5h.cpuutil,0.242671
1724181015.6415982,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181015.8107884,daemon.tick,1.0
1724181016.6509163,consumer-677689b977-sxk5t.cpuutil,200.642096
1724181016.6509163,consumer-677689b977-sxk5t.membytes,1570488320.0
1724181016.6527152,mirror-server-75cd876d75-7zz5h.cpuutil,0.242671
1724181016.6527152,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181016.8107514,daemon.tick,1.0
1724181017.6659698,consumer-677689b977-sxk5t.cpuutil,200.642096
1724181017.6659698,consumer-677689b977-sxk5t.membytes,1570488320.0
1724181017.6686664,mirror-server-75cd876d75-7zz5h.cpuutil,0.242671
1724181017.6686664,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181017.810571,daemon.tick,1.0
1724181018.6784468,consumer-677689b977-sxk5t.cpuutil,200.642096
1724181018.6784468,consumer-677689b977-sxk5t.membytes,1570488320.0
1724181018.6801274,mirror-server-75cd876d75-7zz5h.cpuutil,0.242671
1724181018.6801274,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181018.8101819,daemon.tick,1.0
1724181019.689555,consumer-677689b977-sxk5t.cpuutil,3.158048
1724181019.689555,consumer-677689b977-sxk5t.membytes,1570484224.0
1724181019.6914148,mirror-server-75cd876d75-7zz5h.cpuutil,0.236691
1724181019.6914148,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181019.8104177,daemon.tick,1.0
1724181020.7011733,consumer-677689b977-sxk5t.cpuutil,3.158048
1724181020.7011733,consumer-677689b977-sxk5t.membytes,1570484224.0
1724181020.7029264,mirror-server-75cd876d75-7zz5h.cpuutil,0.236691
1724181020.7029264,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181020.8100567,daemon.tick,1.0
1724181021.7123792,consumer-677689b977-sxk5t.cpuutil,3.158048
1724181021.7123792,consumer-677689b977-sxk5t.membytes,1570484224.0
1724181021.7140884,mirror-server-75cd876d75-7zz5h.cpuutil,0.236691
1724181021.7140884,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181021.8101428,daemon.tick,1.0
1724181022.7232165,consumer-677689b977-sxk5t.cpuutil,3.158048
1724181022.7232165,consumer-677689b977-sxk5t.membytes,1570484224.0
1724181022.7249126,mirror-server-75cd876d75-7zz5h.cpuutil,0.236691
1724181022.7249126,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181022.810853,daemon.tick,1.0
1724181023.7339687,consumer-677689b977-sxk5t.cpuutil,3.158048
1724181023.7339687,consumer-677689b977-sxk5t.membytes,1570484224.0
1724181023.735714,mirror-server-75cd876d75-7zz5h.cpuutil,0.236691
1724181023.735714,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181023.8105278,daemon.tick,1.0
1724181024.7446473,consumer-677689b977-sxk5t.cpuutil,3.158048
1724181024.7446473,consumer-677689b977-sxk5t.membytes,1570484224.0
1724181024.7462842,mirror-server-75cd876d75-7zz5h.cpuutil,0.236691
1724181024.7462842,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181024.8103862,daemon.tick,1.0
1724181025.7548444,consumer-677689b977-sxk5t.cpuutil,3.158048
1724181025.7548444,consumer-677689b977-sxk5t.membytes,1570484224.0
1724181025.7565503,mirror-server-75cd876d75-7zz5h.cpuutil,0.236691
1724181025.7565503,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181025.8104532,daemon.tick,1.0
1724181026.76593,consumer-677689b977-sxk5t.cpuutil,3.158048
1724181026.76593,consumer-677689b977-sxk5t.membytes,1570484224.0
1724181026.7678182,mirror-server-75cd876d75-7zz5h.cpuutil,0.236691
1724181026.7678182,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181026.8108227,daemon.tick,1.0
1724181027.7814982,consumer-677689b977-sxk5t.cpuutil,3.158048
1724181027.7814982,consumer-677689b977-sxk5t.membytes,1570484224.0
1724181027.7832558,mirror-server-75cd876d75-7zz5h.cpuutil,0.236691
1724181027.7832558,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181027.8102648,daemon.tick,1.0
1724181028.7925358,consumer-677689b977-sxk5t.cpuutil,3.158048
1724181028.7925358,consumer-677689b977-sxk5t.membytes,1570484224.0
1724181028.7943838,mirror-server-75cd876d75-7zz5h.cpuutil,0.236691
1724181028.7943838,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181028.8105557,daemon.tick,1.0
1724181029.803811,consumer-677689b977-sxk5t.cpuutil,3.158048
1724181029.803811,consumer-677689b977-sxk5t.membytes,1570484224.0
1724181029.805581,mirror-server-75cd876d75-7zz5h.cpuutil,0.236691
1724181029.805581,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181029.8106148,daemon.tick,1.0
1724181030.8115478,daemon.tick,1.0
1724181030.814655,consumer-677689b977-sxk5t.cpuutil,3.158048
1724181030.814655,consumer-677689b977-sxk5t.membytes,1570484224.0
1724181030.816279,mirror-server-75cd876d75-7zz5h.cpuutil,0.236691
1724181030.816279,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181031.8111472,daemon.tick,1.0
1724181031.8270113,consumer-677689b977-sxk5t.cpuutil,3.158048
1724181031.8270113,consumer-677689b977-sxk5t.membytes,1570484224.0
1724181031.8288875,mirror-server-75cd876d75-7zz5h.cpuutil,0.236691
1724181031.8288875,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181032.8118243,daemon.tick,1.0
1724181032.8379796,consumer-677689b977-sxk5t.cpuutil,3.158048
1724181032.8379796,consumer-677689b977-sxk5t.membytes,1570484224.0
1724181032.8396788,mirror-server-75cd876d75-7zz5h.cpuutil,0.236691
1724181032.8396788,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181033.8115466,daemon.tick,1.0
1724181033.8487687,consumer-677689b977-sxk5t.cpuutil,3.158048
1724181033.8487687,consumer-677689b977-sxk5t.membytes,1570484224.0
1724181033.8504276,mirror-server-75cd876d75-7zz5h.cpuutil,0.236691
1724181033.8504276,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181034.8112996,daemon.tick,1.0
1724181034.859734,consumer-677689b977-sxk5t.cpuutil,2.184909
1724181034.859734,consumer-677689b977-sxk5t.membytes,1570484224.0
1724181034.8613608,mirror-server-75cd876d75-7zz5h.cpuutil,0.210418
1724181034.8613608,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181035.8109603,daemon.tick,1.0
1724181035.8702564,consumer-677689b977-sxk5t.cpuutil,2.184909
1724181035.8702564,consumer-677689b977-sxk5t.membytes,1570484224.0
1724181035.8719544,mirror-server-75cd876d75-7zz5h.cpuutil,0.210418
1724181035.8719544,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181036.810945,daemon.tick,1.0
1724181036.8812265,consumer-677689b977-sxk5t.cpuutil,2.184909
1724181036.8812265,consumer-677689b977-sxk5t.membytes,1570484224.0
1724181036.882862,mirror-server-75cd876d75-7zz5h.cpuutil,0.210418
1724181036.882862,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181037.810941,daemon.tick,1.0
1724181037.8968658,consumer-677689b977-sxk5t.cpuutil,2.184909
1724181037.8968658,consumer-677689b977-sxk5t.membytes,1570484224.0
1724181037.8985052,mirror-server-75cd876d75-7zz5h.cpuutil,0.210418
1724181037.8985052,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181038.8112912,daemon.tick,1.0
1724181038.9076493,consumer-677689b977-sxk5t.cpuutil,2.184909
1724181038.9076493,consumer-677689b977-sxk5t.membytes,1570484224.0
1724181038.9092715,mirror-server-75cd876d75-7zz5h.cpuutil,0.210418
1724181038.9092715,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181039.8109548,daemon.tick,1.0
1724181039.9182749,consumer-677689b977-sxk5t.cpuutil,2.184909
1724181039.9182749,consumer-677689b977-sxk5t.membytes,1570484224.0
1724181039.920077,mirror-server-75cd876d75-7zz5h.cpuutil,0.210418
1724181039.920077,mirror-server-75cd876d75-7zz5h.membytes,198004736.0
1724181040.8109255,daemon.tick,1.0
1724181040.9294267,consumer-677689b977-sxk5t.cpuutil,2.184909
1724181040.9294267,consumer-677689b977-sxk5t.membytes,1570484224.0
1724181041.8109381,daemon.tick,1.0
1724181042.810974,daemon.tick,1.0
1724181043.8109806,daemon.tick,1.0
1724181044.8111284,daemon.tick,1.0
1724181045.8112888,daemon.tick,1.0
1724181046.8109562,daemon.tick,1.0
1724181047.8111236,daemon.tick,1.0
1724181048.8113174,daemon.tick,1.0
1724181049.811507,daemon.tick,1.0
1724181050.8116634,daemon.tick,1.0
1724181051.8118188,daemon.tick,1.0
1724181052.8109567,daemon.tick,1.0
1724181053.811172,daemon.tick,1.0
1724181054.8113534,daemon.tick,1.0
1724181055.811536,daemon.tick,1.0
1724181056.8117347,daemon.tick,1.0
1724181057.8119245,daemon.tick,1.0
1724181058.8109653,daemon.tick,1.0
1724181059.81115,daemon.tick,1.0
1724181060.811342,daemon.tick,1.0
1724181061.811535,daemon.tick,1.0
1724181062.8117151,daemon.tick,1.0
1724181063.8118749,daemon.tick,1.0
1724181064.1239898,consumer-677689b977-z9zvm.cpuutil,114.230634
1724181064.1239898,consumer-677689b977-z9zvm.membytes,134995968.0
1724181064.1261091,mirror-server-75cd876d75-kdlnb.cpuutil,413.513022
1724181064.1261091,mirror-server-75cd876d75-kdlnb.membytes,145199104.0
1724181064.1276934,sim-server.cpuutil,845.252698
1724181064.1276934,sim-server.membytes,1208799232.0
1724181064.8113453,daemon.tick,1.0
1724181065.1371262,consumer-677689b977-z9zvm.cpuutil,114.230634
1724181065.1371262,consumer-677689b977-z9zvm.membytes,134995968.0
1724181065.138798,mirror-server-75cd876d75-kdlnb.cpuutil,413.513022
1724181065.138798,mirror-server-75cd876d75-kdlnb.membytes,145199104.0
1724181065.1402779,sim-server.cpuutil,845.252698
1724181065.1402779,sim-server.membytes,1208799232.0
1724181065.8108163,daemon.tick,1.0
1724181066.1497638,consumer-677689b977-z9zvm.cpuutil,114.230634
1724181066.1497638,consumer-677689b977-z9zvm.membytes,134995968.0
1724181066.1514235,mirror-server-75cd876d75-kdlnb.cpuutil,413.513022
1724181066.1514235,mirror-server-75cd876d75-kdlnb.membytes,145199104.0
1724181066.152897,sim-server.cpuutil,845.252698
